N	3gram	Voloshinov_1	Morfolog
1	в связи с	1	8
2	не может быть	3	8
3	подобно тому как	1	5
4	связи с этим	1	5
5	с точки зрения	6	4
6	и пр и	3	3
7	на самом деле	4	3
8	не могут быть	2	3
9	с одной стороны	1	2
10	в большинстве случаев	3	2
11	друг на друга	2	2
12	для того чтобы	1	2
13	в том что	1	2
14	на первый взгляд	1	2
15	следует заметить что	1	2
16	и таким образом	1	2
17	где оно есть	1	1
18	с самого начала	4	1
19	бы то ни	1	1
20	друг с другом	1	1
21	ни в коем	1	1
22	можно сказать что	3	1
23	уже не может	1	1
24	как живое существо	1	1
25	все же в	1	1
26	о том что	2	1
27	самом деле в	1	1
28	в этом нет	1	1
29	вспомним хотя бы	1	1
30	он не дает	1	1
31	он может быть	1	1
32	в коем случае	1	1
33	можно было бы	1	1
34	а на самом	1	1
35	так как его	1	1
36	и может быть	2	1
37	не что иное	1	1
38	в мифах и	1	1
39	той или иной	1	1
40	мы имеем в	1	1
41	могут быть поняты	1	1
42	она может быть	1	1
43	или во всяком	1	1
44	что иное как	1	1
45	в применении к	1	1
46	во всяком случае	3	1
47	вопрос о мотивах	1	1
48	в данном случае	1	1
49	и пр как	1	1
50	до сих пор	3	1
