N	3gram	Bakhtin_KF_1	Tragedij
1	то же время	2	5
2	в то же	2	5
3	но в то	1	2
4	и как бы	1	2
5	в том что	2	2
6	в этом мире	1	1
7	справедливости все это	1	1
8	но это уже	2	1
9	ко всему что	1	1
10	хотя бы и	1	1
11	и должна быть	1	1
12	и то что	1	1
13	не может жить	1	1
14	это может быть	1	1
15	во всяком случае	1	1
16	смысле этого слова	1	1
17	и чтобы не	1	1
18	и не быть	2	1
19	и в этом	3	1
20	тем не менее	2	1
21	бы и не	2	1
22	вместо того чтобы	1	1
23	но уже не	1	1
24	не может быть	11	1
25	и все же	1	1
26	нет в нем	1	1
27	все в этом	1	1
28	к тому что	1	1
29	во всем его	2	1
30	может быть в	3	1
31	могло бы и	1	1
