N	2gram	Medvedev_I_1	Dialekti
1	и не	2	30
2	и в	1	19
3	стало быть	1	10
4	так и	1	10
5	никогда не	1	9
6	в этом	2	8
7	что в	2	7
8	я не	1	6
9	и та	1	6
10	того что	1	6
11	жизни и	1	6
12	говорить о	1	5
13	и с	3	5
14	с другой	1	5
15	только что	1	5
16	он не	2	4
17	же это	1	4
18	нисколько не	1	4
19	все это	1	4
20	есть только	1	4
21	без этого	1	4
22	а в	1	4
23	другой стороны	1	4
24	от этого	1	3
25	это было	1	3
26	ничего не	2	3
27	как только	1	3
28	очевидно что	1	2
29	все эти	1	2
30	его личности	1	2
31	следовательно в	1	2
32	себя в	1	2
33	тем что	1	2
34	того же	1	1
35	не остается	1	1
36	тех же	1	1
37	нам в	1	1
38	со всеми	1	1
39	в половом	1	1
40	в целом	1	1
41	и еще	1	1
42	понятий и	1	1
43	от нее	1	1
44	во многом	1	1
45	и творчества	1	1
46	в них	1	1
47	в эту	1	1
48	и очень	1	1
49	как о	1	1
50	в основе	1	1
51	он с	1	1
52	так то	1	1
53	должен быть	2	1
54	и о	1	1
55	нечто и	1	1
56	а если	1	1
57	ясно а	1	1
58	то и	1	1
59	данной личности	1	1
60	и др	1	1
61	что последний	1	1
62	слишком много	1	1
63	только общее	1	1
64	по существу	1	1
65	только для	1	1
66	оба они	2	1
67	и идей	1	1
