N	2gram	Bakhtin_sl_2	EvropaiE
1	и в	39	37
2	в отношении	4	32
3	в пределах	13	25
4	точки зрения	8	23
5	что в	3	21
6	не только	24	18
7	с точки	3	17
8	в то	4	16
9	то же	4	15
10	хотя бы	3	15
11	отношении к	4	15
12	в своем	6	14
13	но в	6	14
14	же время	4	14
15	в качестве	1	14
16	но и	21	14
17	и не	22	14
18	в этом	16	12
19	в их	2	11
20	в области	2	11
21	в том	5	11
22	так и	15	10
23	отнюдь не	1	9
24	в себе	2	9
25	только в	5	9
26	прежде всего	8	9
27	все более	1	9
28	не может	20	9
29	в смысле	4	9
30	в своей	1	8
31	между тем	3	8
32	с одной	5	8
33	одной стороны	5	8
34	также и	2	7
35	а также	3	7
36	того что	1	7
37	так как	4	7
38	с другой	5	7
39	и выше	1	7
40	как и	6	7
41	может быть	37	6
42	и на	4	6
43	во всех	12	6
44	стороны и	3	6
45	на то	1	6
46	то есть	26	6
47	том что	5	6
48	того чтобы	2	6
49	вовсе не	10	6
50	для того	2	6
51	и даже	7	6
52	как бы	7	6
53	то что	2	6
54	но не	6	5
55	не в	9	5
56	и по	1	5
57	как мы	7	5
58	одной из	1	5
59	в виде	2	5
60	в частности	1	5
61	и потому	7	5
62	в той	4	5
63	мы не	2	4
64	к востоку	1	4
65	в ней	3	4
66	независимо от	2	4
67	в самом	1	4
68	того или	1	4
69	несмотря на	1	4
70	чем в	2	4
71	лежат в	1	4
72	даже в	2	4
73	и притом	1	4
74	в процессе	13	4
75	к ней	2	4
76	в направлении	1	4
77	той или	5	4
78	по себе	5	4
79	можно сказать	1	4
80	именно в	2	4
81	на всем	1	4
82	или иной	5	4
83	не на	1	4
84	мира в	1	4
85	как это	3	4
86	для нас	5	4
87	сказать что	3	4
88	или иного	1	4
89	в применении	1	3
90	в сфере	2	3
91	идет о	1	3
92	бы и	3	3
93	и со	1	3
94	того же	1	3
95	как в	13	3
96	и к	6	3
97	или иную	1	3
98	но на	1	3
99	вообще не	1	3
100	мы можем	1	3
101	большинстве случаев	5	3
102	и тем	1	3
103	в них	6	3
104	мы видели	2	3
105	во второй	1	3
106	она в	1	3
107	дело в	2	3
108	никогда не	7	3
109	во все	1	3
110	о том	2	3
111	место в	1	3
112	что и	3	3
113	отметить что	3	3
114	и только	1	3
115	культур и	1	3
116	всяком случае	2	3
117	в известной	1	3
118	в прошлом	2	3
119	к ним	1	3
120	тем что	1	3
121	этом отношении	3	3
122	в свою	3	3
123	говорит о	1	3
124	связано с	3	3
125	там где	6	3
126	в данном	2	3
127	применении к	1	3
128	не является	1	3
129	известной степени	2	3
130	и для	5	3
131	новое слово	2	3
132	и от	3	3
133	в результате	2	3
134	мира и	5	3
135	обстоит дело	2	3
136	жизни в	2	3
137	это так	1	3
138	в таком	4	3
139	во всяком	3	3
140	и наиболее	1	2
141	не уходит	1	2
142	по преимуществу	1	2
143	ведь и	2	2
144	должна быть	3	2
145	и этот	1	2
146	есть не	1	2
147	именно к	2	2
148	не нужно	1	2
149	на них	2	2
150	между собой	1	2
151	он сам	1	2
152	но как	2	2
153	точка зрения	2	2
154	в сторону	1	2
155	эмпирической действительности	1	2
156	в истории	11	2
157	его на	1	2
158	с этим	2	2
159	хотя и	2	2
160	целый ряд	1	2
161	и как	3	2
162	в этой	1	2
163	этот процесс	1	2
164	но именно	1	2
165	он не	2	2
166	и еще	1	2
167	таким образом	8	2
168	поскольку она	1	2
169	в мире	1	2
170	и с	9	2
171	с другими	4	2
172	далеко не	2	2
173	дело идет	2	2
174	в своих	1	2
175	такой же	1	2
176	иначе обстоит	1	2
177	в эту	1	2
178	в этих	7	2
179	или точнее	1	2
180	и более	2	2
181	можем сказать	1	2
182	на арене	1	2
183	при условии	1	2
184	в идеологическом	2	2
185	она не	6	2
186	тогда когда	2	2
187	и имеет	1	2
188	по своей	1	2
189	отчасти уже	1	2
190	не могут	5	2
191	могут быть	7	2
192	или поздно	1	2
193	своей идеологии	1	2
194	одну и	1	2
195	утверждать что	1	2
196	как не	1	2
197	свою очередь	2	2
198	культуры и	1	2
199	и ту	1	2
200	мог бы	1	2
201	и что	1	2
202	притом в	2	2
203	могут в	1	2
204	в значительной	6	2
205	к нему	3	2
206	в его	7	2
207	во всей	1	2
208	также в	1	2
209	и существенно	2	2
210	в какой	1	2
211	в органическом	1	2
212	идеологии и	1	2
213	не можем	1	2
214	в большинстве	6	2
215	рано или	1	2
216	и других	4	2
217	в одном	2	2
218	меньше чем	2	2
219	в других	1	2
220	во власти	2	2
221	влияние на	2	2
222	а именно	2	2
223	в некоторых	3	2
224	на основании	1	2
225	а не	14	2
226	можно утверждать	1	2
227	вместе с	2	2
228	в потенции	1	2
229	ко всему	1	2
230	для понимания	1	2
231	и таким	1	2
232	или в	2	2
233	и все	5	2
234	наблюдения над	1	2
235	и всецело	1	2
236	еще более	2	2
237	и наконец	5	2
238	же в	1	2
239	а в	4	2
240	другой стороны	1	2
241	частности в	1	2
242	жизни и	6	2
243	себя как	1	1
244	как известно	1	1
245	ту же	3	1
246	рода и	1	1
247	и т	35	1
248	например в	5	1
249	и это	1	1
250	в чисто	3	1
251	и до	1	1
252	речь идет	1	1
253	всем ее	1	1
254	с таким	2	1
255	той же	3	1
256	на тех	1	1
257	почти все	2	1
258	сводится именно	1	1
259	говорить о	3	1
260	которые при	2	1
261	и быта	1	1
262	быть в	1	1
263	что его	1	1
264	с его	7	1
265	конечно это	1	1
266	тем как	1	1
267	бы она	1	1
268	то мы	1	1
269	самих себя	1	1
270	видели что	1	1
271	чем это	1	1
272	к которой	1	1
273	значение и	1	1
274	по отношению	4	1
275	в новом	2	1
276	отличие от	13	1
277	за пределы	2	1
278	пределы и	1	1
279	к сожалению	1	1
280	как по	1	1
281	отстояния от	1	1
282	в одной	1	1
283	в рамках	1	1
284	все остальные	1	1
285	все же	6	1
286	однако не	1	1
287	кроме того	2	1
288	могли бы	1	1
289	исключения и	1	1
290	более или	2	1
291	увидим что	1	1
292	в идеологической	2	1
293	основных направлений	1	1
294	та же	1	1
295	он в	1	1
296	в нашем	2	1
297	которые в	2	1
298	связанного с	1	1
299	с их	3	1
300	нами в	1	1
301	бы только	2	1
302	но его	1	1
303	на территории	2	1
304	и те	1	1
305	на его	2	1
306	при этом	7	1
307	т д	2	1
308	наивность если	1	1
309	от которых	1	1
310	говорили в	1	1
311	культур в	1	1
312	не значит	1	1
313	сожалению не	1	1
314	пределах одного	7	1
315	в корне	1	1
316	на этом	3	1
317	культурной и	1	1
318	или иных	1	1
319	но все	5	1
320	значительной степени	6	1
321	как они	1	1
322	в нем	19	1
323	оно всегда	1	1
324	значение в	2	1
325	говорить не	1	1
326	лишь в	3	1
327	входит в	4	1
328	и иных	4	1
329	в свой	2	1
330	мы сказали	2	1
331	о которых	1	1
332	рядом с	3	1
333	всегда и	1	1
334	значение как	2	1
335	и всей	1	1
336	или менее	2	1
337	есть такая	1	1
338	к речам	1	1
339	в такой	1	1
340	эта может	1	1
341	мы говорили	1	1
