N	3gram	Bakhtin_sl_2	Komedia
1	в том что	4	5
2	о том что	1	4
3	для того чтобы	2	4
4	по отношению к	4	3
5	в том числе	1	3
6	в связи с	2	3
7	то же время	4	3
8	в то же	4	3
9	в частности в	1	2
10	до сих пор	2	2
11	в той же	1	2
12	в отличие от	12	2
13	и его современников	1	2
14	с одной стороны	5	2
15	в нем не	1	2
16	во всяком случае	2	2
17	и т п	33	2
18	речь идет о	1	2
19	как например в	1	1
20	иначе обстоит дело	1	1
21	в какой мере	1	1
22	с точки зрения	3	1
23	на первый план	1	1
24	как это было	1	1
25	сих пор не	2	1
26	и в то	1	1
27	с самого начала	1	1
28	для этой цели	1	1
29	но и в	1	1
30	том числе и	1	1
31	основе его лежит	1	1
32	той или иной	5	1
33	человеку и его	1	1
34	в один из	1	1
35	в чем же	1	1
36	имеет различное значение	1	1
37	в целом ряде	1	1
38	с другой стороны	1	1
39	дошедшие до нас	1	1
40	представить себе как	1	1
41	не может быть	15	1
42	действующих лиц и	1	1
43	так и для	2	1
44	того или иного	1	1
45	более или менее	2	1
46	что он не	1	1
47	в основе его	2	1
48	так и в	3	1
49	в соединении с	1	1
50	в свою очередь	2	1
51	на протяжении всего	1	1
52	мы можем сказать	1	1
53	не только в	2	1
54	но в этом	1	1
55	но все же	4	1
56	в большинстве случаев	5	1
57	тем не менее	1	1
58	целом ряде случаев	1	1
59	в пределах одного	7	1
60	как мы видели	1	1
