N	2gram	Trubetskoy_1	Retstnzi
1	не может	17	4
2	и в	23	3
3	в центре	1	2
4	один из	1	2
5	если в	1	2
6	социального общения	1	2
7	нет и	1	1
8	смысл и	1	1
9	лучше всего	1	1
10	и не	8	1
11	тому что	2	1
12	не только	7	1
13	ни один	3	1
14	и тому	2	1
15	связи с	4	1
16	и истории	5	1
17	бы на	1	1
18	себя от	1	1
19	точки зрения	13	1
20	но и	9	1
21	не менее	7	1
22	с другими	1	1
23	тех же	2	1
24	именно с	1	1
25	в ней	3	1
26	на месте	2	1
27	в то	6	1
28	с точки	8	1
29	от общей	1	1
30	и на	6	1
31	вопрос что	1	1
32	права и	1	1
33	при сравнении	1	1
34	для него	2	1
35	и социальной	2	1
36	мы видим	1	1
37	может не	3	1
38	на нее	2	1
39	к тому	8	1
40	а не	1	1
41	может быть	16	1
42	вполне понятно	1	1
43	несмотря на	6	1
44	в его	5	1
45	он в	1	1
46	же время	2	1
47	в термины	1	1
48	то же	4	1
49	и все	7	1
50	из этих	8	1
51	можно назвать	3	1
52	если бы	8	1
53	в каждом	1	1
54	бы в	3	1
