N	2gram	Medvedev_I_1	KFilosof
1	и не	2	26
2	по отношению	1	25
3	и в	1	22
4	отношению к	1	21
5	в этом	2	13
6	для него	1	12
7	все эти	1	11
8	все это	1	10
9	в целом	1	9
10	если бы	1	8
11	жизни и	1	8
12	должен быть	2	7
13	себя в	1	7
14	я не	1	6
15	он не	2	6
16	никогда не	1	5
17	в основе	1	5
18	могло бы	1	4
19	нисколько не	1	4
20	а в	1	4
21	что в	2	4
22	для того	1	3
23	ничего не	2	3
24	того что	1	3
25	не дает	1	3
26	тем что	1	3
27	не остается	1	2
28	а для	1	2
29	от этого	1	2
30	и тот	1	2
31	так и	1	2
32	а по	1	2
33	того чтобы	1	2
34	говорить о	1	2
35	другое дело	1	2
36	и та	1	2
37	а с	1	2
38	со всеми	1	2
39	бы что	2	1
40	более чем	1	1
41	за границей	1	1
42	знать и	1	1
43	нее и	1	1
44	и с	3	1
45	это было	1	1
46	художественного творчества	1	1
47	понятий и	1	1
48	и очень	1	1
49	как о	1	1
50	автор и	1	1
51	и смыслы	1	1
52	есть только	1	1
53	и о	1	1
54	хотя его	1	1
55	при такой	1	1
56	в значительной	1	1
57	это сам	1	1
58	еще одной	1	1
59	и др	1	1
60	самого себя	2	1
61	только для	1	1
62	в эту	1	1
63	только что	1	1
64	того же	1	1
65	бы его	1	1
66	по поводу	1	1
