N	3gram	Bakhtin_fo_1	Myshleni
1	в том что	2	17
2	вместе с тем	2	10
3	для того чтобы	5	7
4	в отличие от	2	6
5	так же как	2	6
6	в высшей степени	1	6
7	с самого начала	2	6
8	в зависимости от	1	5
9	с одной стороны	2	5
10	тот факт что	1	5
11	в связи с	5	5
12	мы уже говорили	3	5
13	друг с другом	1	5
14	и того же	5	4
15	то время как	2	4
16	же как и	2	4
17	смысле этого слова	1	4
18	во всяком случае	1	4
19	в то время	3	4
20	с тем и	1	4
21	одного и того	5	4
22	о том что	1	3
23	сами по себе	1	3
24	в этом отношении	3	3
25	по сравнению с	2	3
26	та или иная	1	3
27	с тем что	1	3
28	по отношению к	3	2
29	и в этом	1	2
30	на первый план	1	2
31	и речи в	1	2
32	как мы увидим	1	2
33	совершенно так же	1	2
34	связанными между собой	1	2
35	по своему составу	1	2
36	включает в себя	1	2
37	в этом и	1	2
38	не может быть	3	2
39	в основе этого	1	2
40	и во всяком	1	2
41	так и в	1	2
42	в свою очередь	1	2
43	к выводу что	1	2
44	той или иной	2	2
45	как мы уже	8	2
46	как и в	2	2
47	в другом месте	1	1
48	по своей природе	1	1
49	том что в	1	1
50	и том же	1	1
51	мы и в	1	1
52	и путь к	1	1
53	как и для	2	1
54	вопрос в положительном	1	1
55	в том числе	4	1
56	в этом случае	1	1
57	между собой в	1	1
58	с точки зрения	2	1
59	о которой мы	1	1
60	до сих пор	3	1
61	мы говорили в	1	1
62	так же мало	1	1
63	во всех этих	1	1
64	том числе и	2	1
65	основе его лежит	1	1
66	одном и том	1	1
67	того чтобы они	4	1
68	как если бы	2	1
69	так как он	1	1
70	же что и	2	1
71	со всеми его	2	1
72	в самом начале	1	1
73	в данном случае	1	1
74	в основе его	1	1
75	не только в	2	1
76	в один ряд	1	1
77	и все его	1	1
78	выступает на первый	1	1
79	в значительной степени	1	1
80	во всей ее	1	1
81	к этому типу	1	1
82	не могут быть	1	1
83	остается тем же	1	1
84	все более и	1	1
85	друг к другу	2	1
86	и в том	1	1
87	именно в тех	1	1
88	что это развитие	1	1
89	в него как	1	1
90	тогда когда они	1	1
91	которая необходима для	1	1
92	и как бы	1	1
93	с ним но	1	1
94	что и у	1	1
95	человека и его	7	1
96	связанных между собой	1	1
97	пространственных и временных	2	1
98	связи с этим	2	1
99	и в самом	1	1
100	более и более	1	1
101	мы будем говорить	1	1
102	которой мы говорили	1	1
103	но все эти	2	1
104	все эти особенности	1	1
105	он имеет в	1	1
106	с этим мы	1	1
107	сама по себе	1	1
108	снова и снова	1	1
109	этот вопрос в	1	1
110	в последнем счете	1	1
111	здесь как и	1	1
112	и у нас	1	1
113	и не могло	1	1
114	как мы говорили	1	1
115	и к другому	1	1
