N	3gram	Propp_Isto_2	Problemy
1	до сих пор	6	8
2	не может быть	2	8
3	по отношению к	3	5
4	друг с другом	1	5
5	в отличие от	1	3
6	как мы увидим	1	3
7	сам по себе	1	3
8	с другой стороны	2	3
9	мы имеем в	5	3
10	по данному вопросу	1	2
11	но и в	2	2
12	можно было бы	3	2
13	в том что	5	2
14	о том что	2	2
15	друг друга но	1	2
16	в этих случаях	8	2
17	и понимает ее	1	2
18	мы увидим что	3	2
19	для наших целей	2	2
20	как то что	1	1
21	иметь в виду	2	1
22	и делают его	1	1
23	и так сказать	1	1
24	том что он	1	1
25	по мере того	2	1
26	в этом случае	5	1
27	мы не будем	2	1
28	хотя оно и	1	1
29	в свою противоположность	1	1
30	а может быть	1	1
31	может быть даже	1	1
32	почти никогда не	1	1
33	что мы имеем	1	1
34	в пределах данного	1	1
35	так же как	4	1
36	они еще не	1	1
37	с одной стороны	3	1
38	но в отличие	1	1
39	и то же	1	1
40	как один из	1	1
41	если мы не	1	1
42	не знает но	1	1
43	и в нем	1	1
44	так или иначе	1	1
45	в связи с	4	1
46	в виду что	1	1
47	к тому же	2	1
48	один из его	1	1
49	может быть разрешен	1	1
50	вместо того чтобы	2	1
51	а в нем	1	1
52	он не боится	1	1
53	но они не	2	1
54	и вместе с	2	1
55	мере того как	2	1
56	с самого начала	2	1
57	не только в	4	1
58	но все же	4	1
59	не будем останавливаться	1	1
60	не в этом	1	1
61	друг от друга	1	1
62	после того как	2	1
63	в своей стране	1	1
64	дело не в	2	1
65	и в каких	1	1
66	в высшей степени	1	1
