N	2gram	Propp_Morf_1	Psycholo
1	в том	6	37
2	и в	13	32
3	и что	2	22
4	том что	4	21
5	потому что	3	21
6	таким образом	21	21
7	то что	8	21
8	что в	8	20
9	может быть	52	18
10	так же	3	18
11	точки зрения	2	17
12	что и	7	17
13	не может	14	17
14	самом деле	4	16
15	что она	2	16
16	того чтобы	3	14
17	то же	7	13
18	в этом	14	13
19	при этом	1	13
20	для того	2	13
21	что он	4	13
22	не только	4	12
23	если мы	5	12
24	так как	16	12
25	на то	2	11
26	было бы	3	11
27	с тем	2	11
28	в основе	1	11
29	и т	41	10
30	с точки	2	10
31	при помощи	9	10
32	но и	4	10
33	как и	3	10
34	и не	12	10
35	как в	3	9
36	что при	2	9
37	тем что	4	9
38	что это	1	8
39	не в	3	8
40	не менее	5	8
41	дело с	1	8
42	того что	3	8
43	в сущности	3	7
44	совершенно ясно	1	7
45	что они	2	7
46	и как	5	7
47	говорит что	1	7
48	все эти	2	7
49	ясно что	5	7
50	такой же	1	7
51	и его	1	7
52	как будто	2	7
53	к тому	4	7
54	можно было	2	7
55	только в	2	7
56	а не	11	7
57	сказать что	2	7
58	в этой	2	6
59	целый ряд	3	6
60	он не	3	6
61	если бы	2	6
62	те же	1	6
63	о том	2	6
64	как бы	3	6
65	же самое	1	6
66	на самом	4	5
67	показать что	4	5
68	и на	1	5
69	что его	2	5
70	только на	1	5
71	на все	1	5
72	далеко не	5	5
73	в то	3	5
74	не сумеем	2	5
75	и даже	1	5
76	до сих	1	5
77	вслед за	5	5
78	сих пор	1	5
79	как раз	1	5
80	этом отношении	1	5
81	как на	1	5
82	ту же	2	4
83	мы имеем	9	4
84	в чем	1	4
85	с этим	11	4
86	все же	7	4
87	в целом	3	4
88	и по	2	4
89	том случае	1	4
90	и с	1	4
91	и тем	2	4
92	несмотря на	4	4
93	в данном	1	4
94	образом и	1	4
95	которые в	1	4
96	и более	1	4
97	тому что	4	4
98	не имеет	2	4
99	того как	2	4
100	ничего не	4	4
101	и до	1	4
102	и для	2	4
103	могут быть	16	4
104	тем не	5	4
105	утверждать что	3	4
106	если же	5	4
107	данном случае	1	4
108	и когда	1	4
109	между тем	5	4
110	мы видим	13	4
111	из них	3	4
112	от того	3	4
113	а на	3	4
114	как это	3	4
115	наряду с	5	4
116	с этой	1	4
117	случае если	1	4
118	и все	1	4
119	а в	7	4
120	совершенно не	1	4
121	из этого	1	4
122	например в	2	3
123	и то	1	3
124	приходит к	1	3
125	мы не	8	3
126	а другой	1	3
127	или же	6	3
128	время как	3	3
129	то это	3	3
130	во всех	4	3
131	но как	2	3
132	которые не	1	3
133	что именно	1	3
134	и к	4	3
135	но в	2	3
136	та же	2	3
137	формы в	1	3
138	главным образом	4	3
139	состоит в	2	3
140	и вот	1	3
141	то как	2	3
142	на этом	3	3
143	об этом	4	3
144	это было	3	3
145	в своей	1	3
146	в которых	2	3
147	но он	1	3
148	что с	1	3
149	мы можем	2	3
150	видим что	10	3
151	во всем	1	3
152	в каком	2	3
153	не могут	4	3
154	само собой	1	3
155	с ее	1	3
156	в виду	1	3
157	то время	3	3
158	и совершенно	1	3
159	так и	6	3
160	с другой	8	3
161	мы должны	3	3
162	значит что	3	3
163	один из	5	3
164	этот вопрос	2	3
165	действующих лиц	11	3
166	и ее	3	3
167	так что	1	3
168	в нашей	1	3
169	что не	1	3
170	каким образом	1	3
171	и их	2	3
172	были бы	1	3
173	тому как	5	3
174	в частности	2	3
175	того или	1	3
176	по своему	2	3
177	видит в	1	3
178	что же	2	3
179	по существу	12	3
180	это значит	1	3
181	должны быть	1	3
182	хотя бы	4	3
183	точно так	1	3
184	также и	4	2
185	и этот	1	2
186	еще не	3	2
187	это совершенно	1	2
188	есть нечто	3	2
189	эта форма	13	2
190	как во	1	2
191	с но	1	2
192	как не	1	2
193	бы то	3	2
194	с его	2	2
195	но не	4	2
196	мы будем	3	2
197	это делается	1	2
198	явлений и	1	2
199	значение и	1	2
200	если в	5	2
201	ответ на	1	2
202	отличие от	1	2
203	можно показать	2	2
204	том порядке	1	2
205	раз обратное	1	2
206	в очень	1	2
207	могли бы	1	2
208	но эта	1	2
209	увидим что	1	2
210	из самых	1	2
211	в которой	3	2
212	мы получаем	2	2
213	бы не	1	2
214	и тот	1	2
215	формы не	1	2
216	в себе	1	2
217	имеем в	6	2
218	что каждая	1	2
219	по происхождению	1	2
220	т д	39	2
221	же с	1	2
222	тем и	2	2
223	на его	4	2
224	подобно тому	6	2
225	форма в	3	2
226	в каждом	1	2
227	здесь мы	3	2
228	то ни	3	2
229	в ход	1	2
230	материала и	1	2
231	с другими	1	2
232	это не	6	2
233	то все	1	2
234	в них	1	2
235	но так	1	2
236	убедиться что	1	2
237	не значит	2	2
238	не так	1	2
239	и при	1	2
240	всяком случае	2	2
241	вывод что	2	2
242	их в	1	2
243	и наоборот	4	2
244	в этих	13	2
245	что этот	1	2
246	для нее	1	2
247	точно и	1	2
248	все более	1	2
249	вплоть до	1	2
250	быть дано	1	2
251	начинает с	1	2
252	на него	3	2
253	в самых	2	2
254	и отсюда	1	2
255	не вполне	1	2
256	которая не	1	2
257	не потому	1	2
258	всякий исследователь	1	2
259	такие же	1	2
260	ни в	1	2
261	когда мы	1	2
262	в полном	1	2
263	оно не	2	2
264	она не	2	2
265	на вопрос	2	2
266	и многие	1	2
267	в особенности	1	2
268	и говорит	1	2
269	действия и	1	2
270	с если	1	2
271	том как	1	2
272	даны в	1	2
273	в таком	1	2
274	и здесь	5	2
275	во всяком	2	2
276	в глаза	2	2
277	после того	1	2
278	с того	3	2
279	в его	1	2
280	а потому	1	2
281	в него	1	2
282	к нему	3	2
283	в новой	1	2
284	этого материала	1	2
285	в какой	3	2
286	как нечто	1	2
287	с двумя	2	2
288	и у	1	2
289	мы получим	1	2
290	которые делает	1	2
291	их как	2	2
292	могло бы	1	2
293	не любит	1	2
294	мы находим	1	2
295	в одном	1	2
296	вовсе не	4	2
297	в состоянии	1	2
298	с этими	1	2
299	отношение к	1	2
300	и никогда	1	2
301	в других	3	2
302	исходят из	2	2
303	такое же	1	2
304	а с	2	2
305	она является	1	2
306	на которых	1	2
307	не на	2	2
308	и далее	1	2
309	при определении	1	2
310	там где	5	2
311	во внимание	1	2
312	материал и	1	2
313	если она	2	2
314	из которых	3	2
315	мы опять	1	2
316	более и	1	2
317	но это	6	2
318	и таким	2	2
319	тому или	1	2
320	форм и	1	2
321	не существует	3	2
322	это можно	1	2
323	показать как	1	2
324	для нас	2	2
325	другой стороны	4	2
326	состоит из	1	2
327	на этот	1	2
328	и действие	1	2
329	в свое	2	2
330	ли он	1	2
331	заметить что	8	2
332	смысле слова	4	1
333	только он	1	1
334	одним из	1	1
335	таком случае	1	1
336	переносятся на	1	1
337	утверждение что	1	1
338	он может	2	1
339	и должны	1	1
