N	3gram	Tiupa_Lite_2	Istorich
1	не может быть	7	7
2	тем не менее	2	6
3	с другой стороны	4	5
4	с одной стороны	6	4
5	в том что	5	4
6	о том что	2	3
7	то же самое	1	3
8	по отношению к	3	3
9	можно было бы	1	3
10	мы не можем	1	2
11	бы то ни	1	2
12	однако это не	1	2
13	то ни было	1	2
14	в отличие от	1	2
15	и когда он	1	2
16	вместе с тем	1	2
17	подобно тому как	2	1
18	со второй половины	1	1
19	быть не может	1	1
20	в одном из	1	1
21	до тех пор	1	1
22	мы имеем дело	1	1
23	представляет собой одно	1	1
24	в дальний путь	1	1
25	еще в году	2	1
26	тех или иных	1	1
27	для того чтобы	1	1
28	и т п	2	1
29	ни к какой	1	1
30	к тому что	1	1
31	и в соответствии	1	1
32	в этом случае	2	1
33	едва ли не	4	1
34	за то что	2	1
35	для него как	1	1
36	а так как	1	1
37	приводит к тому	1	1
38	не могут быть	1	1
39	и даже в	1	1
40	говоря уже о	2	1
41	одной стороны и	1	1
42	только то что	1	1
43	после того как	1	1
44	прежде всего в	1	1
45	как он был	1	1
46	в этом отношении	3	1
47	в том чтобы	3	1
48	не говоря уже	2	1
49	не в том	1	1
50	без другого не	1	1
51	него как и	1	1
52	в соответствии с	1	1
53	и в пределах	1	1
