N	2gram	Voloshinov_1	DiskursI
1	в качестве	4	34
2	не только	27	28
3	в том	2	23
4	а не	6	22
5	то есть	4	20
6	том что	3	19
7	представляет собой	2	17
8	может быть	13	17
9	как и	10	16
10	и в	38	16
11	в этом	10	15
12	еще не	3	14
13	но и	13	14
14	при этом	9	13
15	и т.п	21	12
16	речевого общения	8	12
17	по своей	2	11
18	но не	2	11
19	прежде всего	21	11
20	и не	14	11
21	как в	2	10
22	с другой	1	10
23	в нем	4	9
24	не может	12	9
25	в частности	3	9
26	отнюдь не	10	8
27	но в	5	8
28	о том	4	8
29	так и	6	8
30	не было	2	7
31	в себе	9	7
32	то же	14	7
33	не в	6	7
34	в основе	2	7
35	роль в	3	7
36	со стороны	1	7
37	в его	6	7
38	только в	6	7
39	высказывания в	2	6
40	в своем	1	6
41	и как	9	6
42	ни к	2	6
43	и на	6	5
44	во всех	6	5
45	тому же	2	5
46	в силу	1	5
47	в котором	3	5
48	в их	1	5
49	в процессе	6	5
50	в себя	1	5
51	или иной	4	5
52	можно сказать	4	5
53	а с	5	5
54	как бы	28	5
55	к тому	4	5
56	а в	5	5
57	то что	8	5
58	в своей	2	5
59	и о	1	4
60	в которых	2	4
61	с его	7	4
62	в сторону	1	4
63	отношение к	2	4
64	в истории	1	4
65	и к	4	4
66	уже не	4	4
67	в целом	4	4
68	на его	5	4
69	не как	1	4
70	лишь в	4	4
71	потому что	5	4
72	жанра в	1	4
73	и т.д	21	4
74	же время	7	4
75	между тем	3	4
76	одной из	2	4
77	что он	2	4
78	для него	3	4
79	в особенности	1	4
80	связи с	3	4
81	не является	5	4
82	что в	1	4
83	также и	2	3
84	того же	1	3
85	и потому	2	3
86	в каждой	1	3
87	столь же	1	3
88	той или	3	3
89	в одной	1	3
90	с этим	2	3
91	перед нами	3	3
92	в самом	4	3
93	человеческого сознания	1	3
94	т.п но	2	3
95	вследствие этого	2	3
96	зрения на	2	3
97	это не	3	3
98	и того	1	3
99	точки зрения	10	3
100	в своих	2	3
101	однако в	2	3
102	жанр и	2	3
103	по себе	1	3
104	в то	9	3
105	к той	1	3
106	таким образом	7	3
107	ли не	2	3
108	должны быть	1	3
109	как не	2	3
110	свою очередь	4	3
111	но при	3	3
112	в ее	3	3
113	в произведении	1	3
114	времени и	2	3
115	не с	3	3
116	еще в	1	3
117	и даже	3	3
118	или на	1	3
119	что и	3	3
120	хотя бы	18	3
121	в данной	3	3
122	из них	3	3
123	первобытного человека	2	3
124	автор и	1	3
125	тем что	2	3
126	именно в	1	3
127	это прежде	1	3
128	себе не	1	3
129	целого высказывания	1	3
130	по своему	3	3
131	тому как	1	3
132	того что	4	3
133	один из	4	3
134	все же	7	3
135	как уже	2	3
136	в свою	6	3
137	сказать что	3	3
138	другой стороны	1	3
139	говорящего к	2	3
140	в действительности	1	3
141	отношения к	3	2
142	одним из	1	2
143	например в	1	2
144	языка с	1	2
145	и есть	1	2
146	для своего	1	2
147	мы имеем	2	2
148	в сущности	1	2
149	на себя	1	2
150	ему в	1	2
151	в виду	3	2
152	общения в	4	2
153	слово не	4	2
154	между собой	2	2
155	служит для	1	2
156	но как	2	2
157	высказывания с	3	2
158	в новом	1	2
159	за пределы	1	2
160	себя в	4	2
161	как к	1	2
162	хотя и	3	2
163	когда он	1	2
164	целый ряд	3	2
165	более или	1	2
166	в противоположность	1	2
167	точкой зрения	5	2
168	в тех	3	2
169	в этой	6	2
170	высказывания не	2	2
171	так сказать	4	2
172	он ни	1	2
173	что представляет	1	2
174	на этом	1	2
175	так например	1	2
176	человека в	2	2
177	могла бы	1	2
178	об этом	3	2
179	того или	5	2
180	и тем	6	2
181	не всегда	2	2
182	с человеком	1	2
183	одного и	1	2
184	или менее	1	2
185	в г	1	2
186	наших дней	1	2
187	и без	4	2
188	мысли и	1	2
189	по крайней	1	2
