N	4gram	Medvedev_F_2	VLabPisa
1	в то же время	5	5
2	и в то же	3	3
3	и не может быть	2	2
4	в большей или меньшей	1	2
5	большей или меньшей степени	1	2
6	может быть и речи	3	1
7	в том или ином	1	1
8	является не чем иным	1	1
9	не в том что	1	1
10	но в то же	1	1
11	следует однако отметить что	1	1
12	в том смысле что	2	1
13	не чем иным как	1	1
14	в зависимости от различных	1	1
15	и так или иначе	1	1
16	в этом отношении очень	2	1
17	и т п все	1	1
18	в светлое поле сознания	1	1
19	не может быть и	3	1
20	же в таком случае	1	1
21	не говоря уже о	1	1
