N	4gram	Tiupa_Anal_2	DiskursI
1	в то же время	2	4
2	состоит в том что	4	2
3	одно и то же	1	2
4	субъект объект и адресат	1	1
5	субъекта объекта и адресата	2	1
6	с той или иной	2	1
7	упускать из виду что	1	1
8	имеем дело не с	1	1
9	одних и тех же	1	1
10	не последнюю роль в	1	1
11	присутствия в мире в	1	1
12	как уже было сказано	1	1
13	человеческого я в мире	1	1
14	тем не менее в	1	1
15	между автором и читателем	1	1
16	в эпических жанрах а	1	1
17	мы имеем дело не	1	1
18	может трактоваться в качестве	1	1
