N	4gram	Vygotskiy__2	Vvedenie
1	с одной стороны и	2	3
2	и в самом деле	1	3
3	заключается в том что	4	2
4	ответ на этот вопрос	1	2
5	на вопрос о том	2	2
6	дело в том что	1	2
7	сомнений в том что	1	2
8	состоит в том что	3	2
9	именно в этом пункте	1	1
10	в той или иной	1	1
11	смысле этого слова как	1	1
12	в собственном смысле слова	3	1
13	собственном смысле слова в	1	1
14	мы имеем в виду	1	1
15	приходит к выводу что	1	1
16	то же самое что	2	1
17	представление о том что	1	1
18	к действительности а именно	1	1
19	в том что такое	1	1
20	в течение многих лет	1	1
21	заключается вовсе не в	1	1
22	заключается в том чтобы	3	1
23	бы то ни было	1	1
24	в связи с этим	1	1
