N	3gram	Kanaev_Sov_1	Istorich
1	мы знаем что	1	10
2	до сих пор	1	6
3	в этом случае	1	5
4	мы видим что	1	5
5	в том что	1	5
6	но все же	1	4
7	так же как	1	4
8	в связи с	1	4
9	по отношению к	1	3
10	можно было бы	1	3
11	с одной стороны	1	3
12	мы уже знаем	1	3
13	и может быть	1	2
14	что иное как	1	2
15	уже знаем что	1	2
16	на самом деле	1	2
17	для наших целей	1	2
18	но они не	1	2
19	не что иное	1	2
20	и ничего не	1	2
21	в одном случае	1	2
22	не может быть	4	2
23	с самого начала	3	2
24	еще не может	2	1
25	до наших дней	1	1
26	и есть то	1	1
27	его таким образом	1	1
28	и той же	1	1
29	мы это увидим	1	1
30	в обратном порядке	1	1
31	через некоторое время	2	1
32	влечет за собой	1	1
33	в зависимости от	4	1
34	в отличие от	2	1
35	а может быть	1	1
36	не подлежит никакому	1	1
37	стадии развития на	1	1
38	в обоих случаях	1	1
39	подлежит никакому сомнению	1	1
40	а в некоторых	1	1
41	тем не менее	2	1
42	может быть сведен	1	1
43	в себе в	1	1
44	есть не что	1	1
45	но уже в	1	1
46	мы не можем	6	1
47	сих пор в	1	1
48	это значит что	1	1
49	но все эти	1	1
50	и прежде всего	1	1
51	по его мнению	1	1
52	мы этого не	1	1
53	это как бы	1	1
54	из этих двух	1	1
55	одной и той	1	1
56	друг с другом	2	1
57	на этой стадии	1	1
58	на другой день	1	1
59	но никогда не	1	1
60	мы видели что	3	1
61	но если мы	1	1
