N	3gram	Berdyaev_O_1	Myshleni
1	в том что	1	17
2	для того чтобы	3	7
3	друг с другом	1	5
4	смысле этого слова	1	4
5	во всяком случае	1	4
6	о том что	1	3
7	в этом отношении	1	3
8	по сравнению с	1	3
9	с тем что	2	3
10	на то что	1	3
11	и в этом	2	2
12	то что в	1	2
13	заключает в себе	1	2
14	и то что	1	2
15	не может быть	2	2
16	само по себе	1	2
17	как и в	1	2
18	в другом месте	1	1
19	том что в	1	1
20	открылся совершенно новый	1	1
21	в виду не	1	1
22	и характер его	1	1
23	не может привести	1	1
24	о том как	1	1
25	как и все	2	1
26	сам по себе	1	1
27	считать установленным что	1	1
28	в этот период	1	1
29	можно было сделать	1	1
30	в самом начале	1	1
31	и в его	1	1
32	не могут быть	2	1
33	друг к другу	1	1
34	глубоко отличается от	1	1
35	с той стороны	1	1
36	и в том	1	1
37	в совершенно ином	1	1
38	и в самом	1	1
39	ли может быть	1	1
40	то что говорит	1	1
