N	3gram	Losev_Vesc_1	Myshleni
1	в том что	4	17
2	вместе с тем	1	10
3	заключается в том	1	7
4	для того чтобы	2	7
5	так же как	1	6
6	в собственном смысле	2	6
7	в зависимости от	1	5
8	можно было бы	1	5
9	с одной стороны	3	5
10	тем не менее	3	5
11	друг с другом	1	5
12	что и в	1	5
13	и того же	1	4
14	то и другое	4	4
15	то время как	1	4
16	во всяком случае	2	4
17	в то время	1	4
18	это значит что	19	4
19	одного и того	1	4
20	о том что	4	3
21	сами по себе	3	3
22	в этом отношении	1	3
23	того что они	1	3
24	независимо от того	1	3
25	бы сказать что	2	3
26	по сравнению с	6	3
27	с другой стороны	2	3
28	мы видели что	1	3
29	не мог бы	1	3
30	с тем что	1	3
31	на то что	2	3
32	таким образом что	1	2
33	оба эти момента	1	2
34	того же типа	1	2
35	только потому что	1	2
36	этой точки зрения	1	2
37	на этой стадии	1	2
38	и то что	3	2
39	так как она	1	2
40	то что мы	2	2
41	все что мы	1	2
42	не может быть	6	2
43	и во всяком	1	2
44	с этой точки	1	2
45	в свою очередь	4	2
46	само по себе	1	2
47	и в сфере	1	2
48	по своей природе	1	1
49	что иное как	7	1
50	ничем не отличаются	1	1
51	мы видим таким	1	1
52	одному и тому	1	1
53	время как другие	1	1
54	более или менее	1	1
55	подобно тому как	4	1
56	так или иначе	4	1
57	то же самое	1	1
58	о том как	1	1
59	с точки зрения	3	1
60	что как бы	1	1
61	до сих пор	1	1
62	тот или иной	1	1
63	что мы имеем	1	1
64	сам по себе	3	1
65	того что мы	1	1
66	бы то ни	4	1
67	имеем дело не	2	1
68	из того что	2	1
69	кроме того что	1	1
70	что оно не	1	1
71	ту или иную	2	1
72	отвлеченного понятия это	1	1
73	в применении к	1	1
74	является не просто	1	1
75	этих моментов в	1	1
76	в самом начале	1	1
77	не что иное	7	1
78	взаимное понимание и	1	1
79	в данном случае	2	1
80	не потому что	4	1
81	в том чтобы	1	1
82	в понятии и	1	1
83	не только в	4	1
84	то ни было	4	1
85	вообще не есть	1	1
86	мы не знаем	1	1
87	с чем мы	2	1
88	все же не	1	1
89	тот же самый	1	1
90	бы его ни	1	1
91	того что она	2	1
92	взаимного понимания между	2	1
93	общения с ним	2	1
94	потому что она	1	1
95	вещи как ее	1	1
96	к истине и	1	1
97	но только в	1	1
98	мы подходим к	1	1
99	может быть самой	1	1
100	остановиться на этом	1	1
101	связанных друг с	1	1
102	значит что в	1	1
103	может быть совершенно	1	1
104	есть не что	5	1
105	и как бы	1	1
106	в себя уже	1	1
107	по себе а	1	1
108	и тому же	1	1
109	мы не можем	1	1
110	в интересующей нас	1	1
111	между ними в	1	1
112	не только потому	1	1
113	с этим последним	1	1
114	и в самом	1	1
115	видим таким образом	1	1
116	к одному и	1	1
117	мы будем говорить	1	1
118	и не потому	1	1
119	к тому что	2	1
120	в результате этого	1	1
121	сама по себе	3	1
122	по сравнению со	1	1
123	здесь как и	1	1
124	ни было но	1	1
125	в конце концов	2	1
126	как мы говорили	1	1
