N	3gram	Trubetskoy_1	Stilisti
1	в то же	10	9
2	то же время	10	7
3	для того чтобы	6	7
4	с точки зрения	9	5
5	того или иного	2	5
6	прежде всего в	1	4
7	то же самое	1	4
8	в свою очередь	1	4
9	с самого начала	1	4
10	той или иной	3	4
11	на самом деле	6	3
12	в этом случае	3	3
13	заключает в себе	1	3
14	в конце концов	3	3
15	внутренней и внешней	1	3
16	и тем самым	2	3
17	но все же	1	3
18	должны были бы	1	2
19	или хотя бы	1	2
20	ни к чему	2	2
21	само собой разумеется	1	2
22	и не только	1	2
23	вместе с тем	3	2
24	в этом отношении	1	2
25	тот или иной	1	2
26	в значительной степени	1	2
27	но в то	1	2
28	мы не знаем	1	2
29	на первый взгляд	1	2
30	смысле этого слова	1	2
31	но при этом	1	2
32	не может быть	4	2
33	и как бы	1	2
34	к чему не	1	2
35	о том что	2	2
36	в связи с	1	2
37	к тому что	2	2
38	тех или иных	1	2
39	лишь потому что	1	2
40	в другом месте	1	1
41	и того же	1	1
42	было говорить о	1	1
43	и ни от	1	1
44	то хотя бы	1	1
45	прежде всего на	1	1
46	по отношению к	1	1
47	более или менее	4	1
48	благодаря всем этим	1	1
49	в самом деле	1	1
50	прежде всего с	1	1
51	то что же	1	1
52	до сих пор	5	1
53	мы подойдем к	1	1
54	ведь в самом	1	1
55	котором мы говорили	1	1
56	лишь при условии	2	1
57	в себе и	2	1
58	можно было бы	3	1
59	на этот вопрос	1	1
60	здесь же мы	1	1
61	по крайней мере	1	1
62	лишь постепенно в	1	1
63	отнюдь не является	1	1
64	и в жизни	1	1
65	жизни и в	1	1
66	говорить не о	1	1
67	в большинстве случаев	2	1
68	тем что он	1	1
69	и в этом	1	1
70	тем не менее	1	1
71	но даже и	1	1
72	мы говорили выше	1	1
73	о котором мы	1	1
74	к мысли что	1	1
75	и все же	1	1
76	из которых каждая	1	1
77	даже и в	1	1
78	не может не	3	1
79	и не может	3	1
80	вопрос о том	1	1
81	мы ведь уже	1	1
82	но ведь в	1	1
83	же время эти	1	1
84	только в том	2	1
85	одного и того	1	1
86	и ту же	1	1
87	являются не просто	1	1
88	в себе элементы	1	1
89	мы уже знаем	1	1
90	одну и ту	1	1
91	в том что	7	1
92	перед нами не	1	1
93	что оно является	1	1
94	возможна лишь при	1	1
95	тот факт что	2	1
