N	2gram	Tiupa_Hudo_1	OGranits
1	и в	19	13
2	и его	12	12
3	прежде всего	4	9
4	может быть	14	8
5	не может	7	8
6	и не	15	8
7	и т.п	4	7
8	в его	9	7
9	и пр	1	7
10	точки зрения	10	7
11	эстетический объект	4	7
12	только в	5	6
13	как бы	9	6
14	не только	16	6
15	то что	4	6
16	таким образом	3	6
17	художественного произведения	3	5
18	и т.д	3	5
19	в поэзии	1	5
20	с точки	3	5
21	эстетического объекта	4	5
22	произведения как	3	4
23	но мы	1	4
24	еще и	1	4
25	на фоне	1	4
26	но в	7	4
27	то же	10	4
28	лишь в	4	4
29	в своей	5	4
30	было бы	1	4
31	все это	2	4
32	только и	1	4
33	не является	4	4
34	материала в	2	4
35	в каждом	1	4
36	и то	4	3
37	в ее	5	3
38	в пределах	3	3
39	так и	11	3
40	говорить о	3	3
41	в их	5	3
42	по отношению	9	3
43	за пределы	2	3
44	в которой	2	3
45	в себе	9	3
46	не как	2	3
47	в одном	2	3
48	так как	1	3
49	одно и	3	3
50	здесь мы	1	3
51	но и	10	3
52	слово в	1	3
53	как и	2	3
54	не в	7	3
55	но для	1	3
56	и для	2	3
57	никогда не	2	3
58	превращается в	2	3
59	отношению к	9	3
60	не столько	3	3
61	что в	6	3
62	в искусстве	7	3
63	и наиболее	1	2
64	для себя	2	2
65	ни одно	2	2
66	и др	2	2
67	художественных произведений	1	2
68	в произведении	3	2
69	и может	1	2
70	роль в	1	2
71	те же	1	2
72	есть не	1	2
73	мог бы	3	2
74	произведения является	1	2
75	если бы	3	2
76	и делают	1	2
77	что иное	1	2
78	иное как	1	2
79	не что	1	2
80	к предмету	1	2
81	ее в	2	2
82	а также	5	2
83	в чем	2	2
84	мы понимаем	1	2
85	между тем	4	2
86	лишь путем	1	2
87	нуждается в	1	2
88	во всей	3	2
89	что они	1	2
90	вслед за	1	2
91	наконец в	1	2
92	как в	2	2
93	в которую	1	2
94	в данном	4	2
95	в этом	11	2
96	в том	18	2
97	мы видим	1	2
98	тот же	1	2
99	с ними	1	2
100	в действительности	1	2
101	или иного	3	2
102	во времени	4	2
103	в целом	3	2
104	и тем	2	2
105	все эти	2	2
106	с одной	2	2
107	в нем	5	2
108	при этом	13	2
109	языка но	1	2
110	для него	4	2
111	в другом	3	2
112	говорить об	1	2
113	отношений между	1	2
114	вовсе не	2	2
115	тем что	1	2
116	в них	2	2
117	и внутренняя	1	2
118	но одно	1	2
119	в области	6	2
120	с другой	7	2
121	всей своей	2	2
122	а как	1	2
123	в самом	5	2
124	входит в	4	2
125	того или	3	2
126	одной стороны	2	2
127	соответствии с	1	2
128	литературное произведение	1	2
129	более того	1	2
130	не на	3	2
131	а не	9	2
132	другой стороны	5	2
133	в связи	1	2
134	том что	8	2
135	от своего	2	2
136	разрыв между	1	2
137	и ее	3	2
138	так же	2	2
139	в отношении	3	2
140	и помимо	1	2
141	своего рода	5	2
142	литературного произведения	10	2
