N	2gram	Tiupa_Lite_3	VelikijI
1	во имя	1	32
2	и не	22	20
3	и в	16	16
4	свободы и	2	12
5	так как	1	9
6	то что	12	9
7	еще не	6	8
8	к богу	1	8
9	в истории	1	8
10	от бога	1	8
11	что они	1	7
12	а не	12	7
13	и потому	2	7
14	не есть	1	6
15	на себя	2	5
16	но и	14	5
17	того что	9	5
18	хотя и	4	5
19	в мире	16	5
20	все это	1	5
21	как бы	8	5
22	и есть	1	4
23	говорить о	1	4
24	в его	6	4
25	нет у	1	4
26	и я	1	4
27	в этом	14	4
28	что он	5	4
29	потому что	3	4
30	в нем	2	4
31	так и	9	4
32	что не	2	4
33	как и	5	4
34	в котором	1	4
35	в ней	1	4
36	и все	1	4
37	хотя бы	1	3
38	то это	2	3
39	лишь в	5	3
40	в чем	1	3
41	с его	6	3
42	во всех	2	3
43	что и	2	3
44	в том	12	3
45	с тобою	2	3
46	но в	3	3
47	бы и	3	3
48	за ним	2	3
49	в конце	2	3
50	в своей	7	3
51	в жизни	8	3
52	в них	1	3
53	не было	1	3
54	должно быть	4	3
55	если не	2	3
56	в этих	1	3
57	нет ничего	1	3
58	что я	5	3
59	не в	10	3
60	тому что	1	3
61	но это	1	3
62	к бытию	1	3
63	не имеет	1	3
64	никогда не	4	3
65	превращается в	1	3
66	и для	4	3
67	к тому	6	3
68	жизни и	3	3
69	что в	2	3
70	людей в	1	3
71	оно не	2	3
72	того чтобы	2	2
73	и то	1	2
74	у людей	1	2
75	но мы	1	2
76	во главе	1	2
77	по которым	1	2
78	и сам	2	2
79	и т	1	2
80	и за	1	2
81	его не	1	2
82	и новые	1	2
83	в последнем	1	2
84	между тем	3	2
85	нет и	1	2
86	вслед за	3	2
87	не с	2	2
88	человека как	1	2
89	только в	7	2
90	конечно не	1	2
91	уже не	3	2
92	не только	14	2
93	для него	2	2
94	не к	1	2
95	для людей	1	2
96	людей не	1	2
97	тем что	2	2
98	на том	1	2
99	это не	5	2
100	а с	1	2
101	прежде всего	3	2
102	все равно	1	2
103	с тем	1	2
104	мы и	2	2
105	один из	2	2
106	без неба	1	2
107	и тогда	2	2
108	мира в	3	2
109	я говорю	2	2
110	на святого	1	2
111	и отверг	1	2
112	самого себя	1	2
113	что было	1	2
114	с тобой	1	2
115	о свободе	1	2
116	том что	8	2
117	для нас	1	2
118	и теперь	1	2
119	ее в	2	2
120	людей и	1	2
121	это все	1	2
122	не создает	1	2
123	а в	5	2
124	но не	4	2
125	от этой	1	1
126	это переходное	2	1
127	человечества о	1	1
128	как мы	2	1
129	быть может	2	1
130	в виду	1	1
131	в сердце	1	1
132	для себя	2	1
133	в ее	5	1
134	жизни во	1	1
135	в словах	3	1
136	и до	1	1
137	свое место	3	1
138	значение в	1	1
139	которое может	1	1
140	то же	9	1
141	жизни о	1	1
142	вопрос о	2	1
143	самой жизни	1	1
144	как велика	1	1
145	я не	2	1
146	и ее	2	1
147	кто же	1	1
148	не ведая	1	1
149	как сам	1	1
150	в их	1	1
151	и на	2	1
152	он был	1	1
153	и который	1	1
154	в последних	1	1
155	бы то	2	1
156	отказ от	2	1
157	жизни с	1	1
158	к нему	1	1
159	сознания не	1	1
160	если в	1	1
161	тогда как	17	1
162	себе и	1	1
163	бы в	1	1
164	не просто	1	1
165	мире и	1	1
166	как в	5	1
167	и мир	1	1
168	своей и	1	1
169	пути в	4	1
170	в своем	1	1
171	потребность в	1	1
172	моя свобода	1	1
173	я был	1	1
174	все же	2	1
175	но с	2	1
176	в двух	1	1
177	могли бы	2	1
178	жизнь свою	1	1
179	в свободном	1	1
180	своей сущности	1	1
181	с ними	2	1
182	и хотя	1	1
183	все новые	1	1
184	из темноты	1	1
185	духа в	1	1
186	в самом	3	1
187	у них	1	1
188	в целом	5	1
189	богом и	1	1
190	бога в	1	1
191	влечение к	1	1
192	в этой	8	1
193	им в	2	1
194	вот в	2	1
195	я в	7	1
196	уже в	1	1
197	жизнь как	2	1
198	то и	1	1
199	то уж	1	1
200	и если	4	1
201	не личное	1	1
202	тебе в	1	1
203	по словам	1	1
204	или даже	1	1
205	о которой	2	1
206	человеческого духа	3	1
207	в понимании	1	1
208	и вот	2	1
209	вовсе не	1	1
210	отношение к	2	1
211	бытия и	1	1
212	у него	1	1
213	не случайно	3	1
214	и человеческого	1	1
215	и вместе	2	1
216	человека в	2	1
217	на нее	1	1
218	для того	2	1
219	без такого	1	1
220	то ни	2	1
221	не были	1	1
222	и с	2	1
223	ней и	1	1
224	не надо	2	1
225	с другой	6	1
226	которого не	1	1
227	его личности	1	1
228	есть не	1	1
229	в глазах	3	1
230	превратится в	1	1
231	лишь на	2	1
232	и быть	1	1
233	еще и	2	1
234	бытия в	2	1
235	весь мир	1	1
236	и тем	3	1
237	том пути	1	1
238	к человеку	1	1
239	сделать их	1	1
240	жизни от	1	1
241	она и	2	1
242	ничем не	1	1
243	власти и	1	1
244	не всегда	2	1
245	и уже	1	1
246	человека не	1	1
247	жизни но	1	1
248	о чем	3	1
249	и было	1	1
250	него не	2	1
251	который я	1	1
252	стороны в	1	1
253	где есть	1	1
254	вместе с	5	1
255	так же	2	1
256	ко всем	1	1
