N	3gram	Propp_Morf_1	Istorich
1	и т д	39	22
2	мы видим что	9	8
3	не может быть	9	7
4	тем не менее	4	6
5	более или менее	2	5
6	с другой стороны	4	5
7	до сих пор	1	5
8	на курьих ножках	1	5
9	мы увидим что	1	5
10	в большинстве случаев	3	4
11	мы должны будем	1	4
12	так например в	1	4
13	с одной стороны	1	4
14	в иное царство	5	4
15	на то что	2	4
16	в том что	3	4
17	по отношению к	4	3
18	например в сказке	1	3
19	покидать высока терема	1	3
20	точно так же	1	3
21	то время как	3	3
22	избушка на курьих	1	3
23	в то время	3	3
24	в связи с	8	3
25	т д все	1	3
26	не покидать высока	1	3
27	друг с другом	1	3
28	с того что	2	3
29	о том что	1	3
30	мы не будем	2	3
31	но все же	3	3
32	в немецкой сказке	1	2
33	не означает что	1	2
34	руки героя попадает	2	2
35	этот вопрос мы	1	2
36	оно может быть	2	2
37	начинается с того	2	2
38	эти две формы	1	2
39	в таких случаях	2	2
40	в этих случаях	11	2
41	отправку героя из	1	2
42	бы то ни	3	2
43	в руки героя	3	2
44	то что в	2	2
45	для изучения сказки	1	2
46	и тем не	1	2
47	это один из	1	2
48	сравнивать сказку с	1	2
49	здесь мы имеем	1	2
50	связь сказки с	1	2
51	таким образом мы	5	2
52	то ни было	2	2
53	на первый взгляд	3	2
54	обстоит дело с	1	2
55	то мы не	1	2
56	героя из дома	2	2
57	в лес и	1	2
58	как мы увидим	4	2
59	что в сказке	1	2
60	мы увидим ниже	5	2
61	мы не можем	1	2
62	вход в иное	1	2
63	с самого начала	1	2
64	отсюда вывод что	2	2
65	сказки так тесно	1	2
66	так тесно связаны	1	2
67	во всех случаях	1	2
68	задача может быть	1	2
69	мы нашли что	1	2
70	но кроме того	1	1
71	в тот момент	1	1
72	весь этот материал	1	1
73	вдруг совершенно неожиданно	1	1
74	усиленную форму отлучки	1	1
75	ложным заключениям несмотря	1	1
76	мы видим не	1	1
77	связаны между собою	1	1
78	сказки прежде всего	1	1
79	к ложным заключениям	1	1
80	до наших дней	2	1
81	не ходи со	1	1
82	поставить вопрос о	1	1
83	берет с собой	1	1
84	это так то	1	1
85	в этой главе	1	1
86	иметь в виду	1	1
87	и пр то	1	1
88	уже не может	1	1
89	имеется и в	1	1
90	это было бы	1	1
91	здесь можно усмотреть	1	1
92	метод и материал	1	1
93	руках уезжает он	1	1
94	это будет видно	1	1
95	подобно тому как	5	1
96	вступает в брак	1	1
97	о том как	1	1
98	представляет собой смерть	1	1
99	которые можно назвать	1	1
100	в этом случае	8	1
101	ниже пока же	1	1
102	сказки с религией	1	1
103	видим что в	1	1
104	может быть рассмотрено	1	1
105	т д они	2	1
106	может быть объяснена	1	1
107	форму отлучки представляет	1	1
108	получение волшебного средства	6	1
109	и в какой	1	1
110	но если это	2	1
111	очень многие сказки	1	1
112	герой получает от	1	1
113	друг на друга	2	1
114	ответить на вопрос	1	1
115	для этой цели	1	1
116	наряду с этим	3	1
117	было указано что	1	1
118	но они не	1	1
119	к тому или	1	1
120	на чужих руках	1	1
121	настолько разнообразны что	1	1
122	в какой степени	1	1
123	так мы получаем	1	1
124	лежат в основе	1	1
125	ходи со двора	1	1
126	следует бегство и	1	1
127	виды сказочных начал	1	1
128	указанием на то	1	1
129	она просит его	1	1
130	в противном случае	1	1
131	выдает себя за	1	1
132	тесно связаны между	1	1
133	она может быть	1	1
134	терема и пр	1	1
135	возникает другой вопрос	1	1
136	после чего следует	2	1
137	вспомним хотя бы	1	1
138	князь ее уговаривал	1	1
139	в том случае	1	1
140	не может считаться	1	1
141	что там где	1	1
142	можно установить что	1	1
143	ехать в дальний	1	1
144	т д иногда	1	1
145	уезжает он купец	1	1
146	герой берет с	1	1
147	этот случай встречается	1	1
148	приводит к тому	1	1
