N	2gram	Tiupa_Narr_1	OGranits
1	и в	11	13
2	и его	10	12
3	прежде всего	4	9
4	может быть	15	8
5	не может	8	8
6	и не	23	8
7	и т.п	8	7
8	в его	6	7
9	точки зрения	5	7
10	только в	12	6
11	как бы	6	6
12	не только	31	6
13	то что	9	6
14	таким образом	1	6
15	и т.д	6	5
16	все же	4	5
17	и наконец	1	5
18	но ведь	1	5
19	с точки	1	5
20	хотя бы	2	5
21	мы не	3	4
22	произведения как	1	4
23	еще и	1	4
24	на фоне	1	4
25	но в	7	4
26	вопроса о	1	4
27	мы можем	2	4
28	то же	8	4
29	лишь в	3	4
30	в сознании	4	4
31	в своей	5	4
32	все это	1	4
33	в двух	1	4
34	не является	3	4
35	и то	3	3
36	в ее	1	3
37	самом деле	3	3
38	в пределах	2	3
39	так и	5	3
40	похожим на	1	3
41	в их	1	3
42	по отношению	3	3
43	с этим	1	3
44	в которой	1	3
45	ни один	1	3
46	в себе	6	3
47	языка как	1	3
48	к одному	1	3
49	не как	1	3
50	в одном	4	3
51	так как	1	3
52	одно и	2	3
53	но и	27	3
54	как системы	1	3
55	как и	13	3
56	и уже	1	3
57	целостно и	1	3
58	точку зрения	1	3
59	не в	6	3
60	да и	2	3
61	но для	3	3
62	и для	2	3
63	никогда не	4	3
64	и все	3	3
65	т.п и	2	3
66	отношению к	3	3
67	что в	3	3
68	в искусстве	1	3
69	и наиболее	1	2
70	данном случае	8	2
71	зависимости от	2	2
72	в произведении	2	2
73	роль в	2	2
74	на две	2	2
75	которое может	1	2
76	мы уже	1	2
77	мог бы	1	2
78	человеческой речи	1	2
79	не исчерпывается	1	2
80	если бы	7	2
81	что иное	1	2
82	иное как	1	2
83	в ней	4	2
84	а также	6	2
85	в чем	2	2
86	между тем	3	2
87	нуждается в	1	2
88	вслед за	1	2
89	наконец в	1	2
90	его на	1	2
91	как в	4	2
92	в данном	11	2
93	в этом	12	2
94	в полном	1	2
95	в том	8	2
96	тот же	1	2
97	с ними	2	2
98	в действительности	1	2
99	которое мы	1	2
100	во времени	9	2
101	в целом	3	2
102	и тем	4	2
103	же слово	1	2
104	с одной	1	2
105	уже в	1	2
106	иным как	2	2
107	в нем	4	2
108	при этом	19	2
109	для него	4	2
110	в другом	1	2
111	в зависимости	2	2
112	тем что	1	2
