N	2gram	Bakhtin_KF_1	Dialekti
1	не есть	20	54
2	и не	26	27
3	а не	17	26
4	точки зрения	12	25
5	это значит	1	24
6	значит что	1	24
7	и в	24	24
8	не только	5	23
9	по себе	2	20
10	не может	27	19
11	не просто	1	18
12	ничего не	3	17
13	и есть	9	16
14	то что	7	14
15	с точки	9	14
16	что все	1	14
17	вовсе не	7	13
18	и даже	1	13
19	может быть	45	13
20	что он	2	13
21	что это	3	12
22	того что	3	12
23	есть только	1	12
24	не имеет	5	11
25	не менее	3	11
26	отнюдь не	6	10
27	тем не	2	10
28	только не	1	10
29	не существует	1	10
30	ни в	12	9
31	но и	9	9
32	нет ничего	1	9
33	что она	1	9
34	в виде	2	8
35	отличается от	1	8
36	это есть	2	8
37	мир как	6	8
38	в этом	14	8
39	прежде всего	2	8
40	что мы	1	8
41	и как	2	8
42	том что	4	8
43	как раз	1	7
44	потому что	2	7
45	что в	4	7
46	ничем не	1	7
47	как и	5	7
48	другими словами	1	7
49	это и	2	7
50	ясно что	3	7
51	что мир	1	7
52	в самом	1	7
53	никогда не	5	7
54	я уже	2	7
55	только на	1	7
56	в виду	3	7
57	утверждать что	1	6
58	оно не	2	6
59	должна быть	4	6
60	и жизни	4	6
61	и все	7	6
62	об этом	1	6
63	и с	1	6
64	и только	6	6
65	превращается в	1	6
66	то же	5	6
67	есть именно	2	6
68	что и	7	6
69	все это	10	6
70	о том	3	6
71	самом деле	3	6
72	я не	6	6
73	и пр	3	6
74	если бы	8	6
75	так как	1	6
76	вопрос о	2	5
77	только как	4	5
78	или не	1	5
79	мы не	3	5
80	он не	6	5
81	как это	1	5
82	есть всегда	1	5
83	одно из	1	5
84	жизни и	8	5
85	и сама	1	5
86	в том	6	5
87	хотя и	1	5
88	и его	17	5
89	тогда когда	3	5
90	что не	3	5
91	в то	3	5
92	можно ли	1	5
93	уже не	7	5
94	или нет	1	5
95	само по	1	5
96	и к	1	5
97	так и	2	5
98	было бы	8	5
99	только в	16	5
100	но это	6	5
101	говорить о	2	4
102	я утверждаю	1	4
103	хотя бы	4	4
104	если оно	1	4
105	можно только	1	4
106	все остальное	2	4
107	для него	8	4
108	но только	1	4
109	сознания и	3	4
110	нет и	3	4
111	к тому	1	4
112	это не	10	4
113	только что	1	4
114	есть просто	1	4
115	жизнь и	2	4
116	это будет	1	4
117	что есть	2	4
118	в чем	4	4
119	от того	3	4
120	в истории	1	4
121	тому что	2	4
122	и мира	1	4
123	субъекта и	1	4
124	чего не	2	4
125	от себя	10	4
126	чтобы быть	2	4
127	я должен	7	4
128	где же	1	4
129	и то	2	4
130	и это	12	4
131	конечно не	7	4
132	или иной	2	4
133	о нем	4	4
134	как о	1	4
135	все эти	10	3
136	не значит	6	3
137	не знает	5	3
138	все же	5	3
139	можно и	2	3
140	же время	2	3
141	должны быть	1	3
142	мир и	1	3
143	не будет	2	3
144	только тогда	1	3
145	и ее	2	3
146	ровно ничего	1	3
147	не было	8	3
148	о примате	1	3
149	на то	1	3
150	и всякий	1	3
151	как таковая	1	3
152	к нему	12	3
153	не в	12	3
154	тем самым	4	3
155	при условии	2	3
156	того или	3	3
157	если не	2	3
158	именно как	1	3
159	его как	5	3
160	мир в	11	3
161	из которых	2	3
162	и этим	3	3
163	он будет	1	3
164	как все	1	3
165	и от	1	3
166	мира и	4	3
167	и о	1	3
168	ни о	1	3
169	во всем	7	3
170	зависимости от	1	3
171	для того	3	3
172	и ни	3	3
173	но его	1	3
174	должно быть	6	3
175	тем что	3	3
176	бытие и	3	3
177	той же	1	3
178	и объект	1	3
179	это было	2	3
180	в основе	5	3
181	друг друга	1	3
182	одна из	1	3
183	мы уже	1	3
184	не мир	1	3
185	и на	3	3
186	есть еще	1	3
187	себя как	2	3
188	она не	1	3
189	он есть	1	3
190	с этим	1	3
191	быть и	3	3
192	как целое	1	3
193	в каком	4	3
194	была бы	1	3
195	он должен	1	3
196	и тут	1	3
197	раз и	2	3
198	и я	5	3
199	как таковую	1	3
200	уже и	1	3
201	ни на	1	3
202	ни к	2	3
203	что именно	1	3
204	все что	1	3
205	он и	2	3
206	как бы	9	3
207	в своем	16	3
208	в нем	28	3
209	и чисто	1	2
210	не содержится	1	2
211	в себе	21	2
212	когда мы	1	2
213	и здесь	7	2
214	и смерть	1	2
215	бы быть	5	2
216	еще не	4	2
217	и всякого	1	2
218	его на	2	2
219	требует чтобы	1	2
220	исходит из	1	2
221	из себя	8	2
222	с которой	1	2
223	или в	1	2
224	бы то	2	2
225	как таковой	1	2
226	мы говорим	1	2
227	людей и	2	2
228	и тем	3	2
229	при этом	4	2
230	только от	1	2
231	и для	9	2
232	никто не	1	2
233	у меня	1	2
234	лишь как	2	2
235	сама она	1	2
236	думать что	2	2
237	как с	1	2
238	зависит от	1	2
239	так чтобы	1	2
240	себя но	1	2
241	меня и	3	2
242	я и	2	2
243	всего этого	1	2
244	не содержит	1	2
245	именно в	5	2
246	в смысле	6	2
247	могут быть	3	2
248	и кроме	1	2
249	в их	8	2
250	в разные	1	2
251	и он	1	2
252	в ней	3	2
253	а в	4	2
254	жизнь не	1	2
255	меня в	3	2
256	для нас	4	2
257	быть только	8	2
258	не можем	1	2
259	есть действительно	2	2
260	но не	12	2
261	этого не	1	2
262	ибо если	1	2
263	а именно	1	2
264	а для	2	2
265	совершенно не	6	2
266	во всяком	1	2
267	есть некая	1	2
268	как не	1	2
269	в чисто	1	2
270	следовательно и	1	2
271	быть не	2	2
272	и во	1	2
273	но как	5	2
274	сознания в	2	2
275	и можно	1	2
276	в его	40	2
277	и уже	1	2
278	ее от	1	2
279	что этот	3	2
280	она действительно	1	2
281	они не	1	2
282	ее в	1	2
283	более не	1	2
284	бытия в	5	2
285	только одно	1	2
286	и говорить	1	2
287	не имеют	1	2
288	где есть	1	2
289	нового времени	1	2
290	ни во	1	2
291	ведь это	1	2
292	однако что	2	2
293	есть момент	3	2
294	а я	1	2
295	бы только	1	2
296	и потому	2	2
297	прошлое и	3	2
298	обе стороны	1	2
299	факт и	1	2
300	всяком случае	1	2
301	смысле не	2	2
302	перестает быть	1	2
303	не о	2	2
304	здесь именно	1	2
305	же и	1	2
306	ни один	1	2
307	который не	1	2
308	было ни	1	2
309	если я	2	2
310	от своего	1	2
311	для этого	2	2
312	и она	2	2
313	в зависимости	1	2
314	из нее	1	2
315	их не	1	2
316	она всегда	1	2
317	в первом	1	2
318	только он	1	2
319	в некое	2	2
320	пространства и	2	2
321	только к	1	2
322	содержится в	1	2
323	отличен от	1	2
324	себя и	2	2
325	и чтобы	1	2
326	она и	1	2
327	событие как	1	2
328	для себя	5	2
329	к признанию	1	2
330	оно ничем	1	2
331	и когда	2	2
332	на этом	1	2
333	в единой	1	2
334	их в	1	2
335	бы его	1	2
336	несмотря на	1	2
337	со стороны	7	2
338	в своих	3	2
339	с его	1	2
340	также и	1	2
341	ли его	1	2
342	со всеми	2	2
343	есть основа	1	2
344	но в	5	2
345	же в	1	2
346	все равно	1	2
347	его не	1	2
348	и эти	2	2
349	c и	1	2
350	или иного	3	2
351	история не	1	2
352	себя в	8	2
353	в понятии	1	2
354	ли будет	1	2
355	бытия и	10	2
356	как я	1	2
357	с моей	3	2
358	от его	5	2
359	но для	2	2
360	той или	3	2
361	но о	1	2
362	и по	1	2
363	сознание но	1	2
364	действительно есть	1	2
365	в данном	2	2
366	если и	1	1
367	его от	1	1
368	остается так	1	1
369	точек зрения	1	1
370	с ее	2	1
371	в которой	1	1
372	b другое	1	1
373	возможна только	1	1
374	момент в	7	1
375	и этот	3	1
376	с целью	1	1
377	определяет человека	1	1
378	смысловой и	1	1
379	и противоречие	1	1
380	это может	1	1
381	и время	2	1
382	всегда в	1	1
383	и видит	1	1
384	есть для	1	1
385	самого себя	1	1
386	и наконец	1	1
387	не становится	1	1
388	одновременно и	1	1
389	что необходимо	1	1
390	в него	2	1
391	менее в	1	1
392	возможного бытия	1	1
393	можно сказать	1	1
394	место в	5	1
395	но он	1	1
396	есть категория	2	1
397	мир где	5	1
398	как этот	1	1
399	и вопрос	1	1
400	его с	2	1
401	отличаются от	1	1
402	всем том	1	1
403	и также	1	1
404	ибо все	3	1
405	частей и	1	1
406	уже тем	1	1
407	и совершенно	3	1
408	а это	2	1
409	нет в	4	1
410	быть просто	1	1
411	с нашим	1	1
412	не к	1	1
413	в этот	1	1
414	этот мир	2	1
415	существенного для	1	1
416	здесь я	1	1
417	был бы	3	1
418	из пределов	1	1
419	конечно это	1	1
420	просто не	1	1
421	точнее говоря	1	1
422	и требует	1	1
423	помыслить но	2	1
424	факта что	1	1
425	а просто	1	1
426	только при	1	1
427	время есть	1	1
428	исходить из	1	1
429	или просто	1	1
430	связь с	1	1
431	и имеют	1	1
432	принципов и	1	1
433	не возможно	1	1
434	христа в	1	1
435	имеем и	1	1
436	одна и	1	1
437	не видя	1	1
438	аналогию с	1	1
439	она становится	1	1
440	сказать и	1	1
441	разума? конечно	1	1
442	и так	1	1
443	же будет	1	1
444	независимо от	3	1
445	будет ли	2	1
446	не нужна	1	1
447	место не	2	1
448	если это	1	1
449	что эта	2	1
450	не более	1	1
451	то есть	1	1
452	ничего субъективного	1	1
453	котором я	2	1
454	с ним	5	1
455	но с	1	1
456	говоря о	1	1
457	конечно и	1	1
458	дело не	2	1
459	говорить ни	1	1
460	та же	2	1
461	от него	3	1
462	умирает в	1	1
463	относятся к	1	1
464	науки и	1	1
465	во всех	11	1
466	а только	1	1
467	на нем	2	1
468	мы получим	2	1
469	моменты и	3	1
470	никто другой	1	1
471	тем или	1	1
472	точке зрения	1	1
473	но может	1	1
474	заговорил о	1	1
475	которой он	2	1
476	если он	1	1
477	это мир	2	1
478	в одном	4	1
479	ли это	2	1
480	событие в	5	1
481	религии и	1	1
482	вообще и	1	1
483	в это	2	1
484	ли кто-нибудь	1	1
485	что уже	1	1
486	сознании и	1	1
487	что только	2	1
488	бесконечен и	1	1
489	место и	2	1
490	были бы	2	1
491	и входит	1	1
492	но все	5	1
493	мира не	3	1
494	по своей	1	1
