N	4gram	Losev_Vesc_1	Problema
1	и тем не менее	1	8
2	в то же самое	1	4
3	взятая сама по себе	1	4
4	и т д и	5	4
5	то же самое время	1	4
6	т д и т	5	3
7	дело в том что	2	3
8	одного и того же	1	2
9	д и т д	5	2
10	не что иное как	7	2
11	в себе не содержит	1	2
12	до сих пор мы	1	2
13	не только не мешает	1	2
14	когда мы говорим что	1	2
15	можно ли сказать что	3	2
16	свидетельствует о том что	3	2
17	есть не что иное	5	2
18	т д все это	1	1
19	и возможно при помощи	1	1
20	еще ничего не говорит	1	1
21	с тем или другим	1	1
22	имеют свой собственный смысл	1	1
23	на самом же деле	1	1
24	мы говорили о смысле	1	1
25	еще и потому что	1	1
26	предстают перед нами как	1	1
27	одно и то же	4	1
28	и т д все	1	1
29	это значит что мы	3	1
30	это не значит что	1	1
31	в то время как	1	1
32	ничего не говорит о	1	1
33	это такой смысл который	1	1
34	взятый сам по себе	1	1
35	свой собственный смысл и	1	1
36	не только потому что	1	1
37	но даже и в	1	1
38	не только не есть	1	1
39	только на то что	1	1
40	не только то что	1	1
41	заключается в том что	1	1
42	то это значит что	2	1
43	говорили о смысле вещи	1	1
44	по себе отнюдь не	1	1
45	только и возможно при	1	1
46	от самой вещи и	1	1
47	мы имеем дело не	2	1
48	вещь есть именно вещь	1	1
49	имеем дело не с	2	1
50	не есть она сама	2	1
51	и в самом деле	1	1
52	себе отнюдь не есть	1	1
53	уже одно то что	1	1
54	это совершенно не важно	1	1
55	но еще и потому	1	1
