N	3gram	Tiupa_Disk_1	Myshleni
1	в том что	13	19
2	по отношению к	9	10
3	с точки зрения	1	10
4	с самого начала	1	7
5	можно сказать что	2	6
6	то же самое	2	6
7	заключается в том	1	5
8	и того же	2	4
9	на то что	1	4
10	одного и того	2	4
11	как мы видели	1	4
12	до сих пор	1	3
13	в этом отношении	1	3
14	из того что	1	3
15	в первую очередь	1	3
16	состоит в том	2	2
17	в этом смысле	1	2
18	в этом случае	1	2
19	и не может	1	2
20	до известной степени	1	2
21	только то что	1	2
22	вместе с тем	1	2
23	с другой стороны	3	2
24	определенного рода в	1	2
25	не может существовать	1	2
26	в связи с	1	2
27	хотя и в	2	2
28	мы имеем дело	2	2
29	не может быть	3	2
30	том что в	2	1
31	нет и не	1	1
32	в которой он	1	1
33	не только по	1	1
34	легко показать на	1	1
35	на самом деле	1	1
36	в своем собственном	1	1
37	в котором он	1	1
38	в том числе	2	1
39	в этом пункте	1	1
40	в том и	1	1
41	внимание на то	1	1
42	о том как	1	1
43	как раз и	1	1
44	том что всякое	1	1
45	полностью совпадает с	1	1
46	не могли быть	1	1
47	только в том	2	1
48	как и все	1	1
49	сами по себе	2	1
50	что он не	1	1
51	в отличие от	4	1
52	что представляет собой	1	1
53	к существенным недоразумениям	1	1
54	по аналогии с	1	1
55	что с помощью	1	1
56	том числе и	2	1
57	он не может	1	1
58	том и в	1	1
59	во всех областях	1	1
60	в равной мере	1	1
61	едва ли не	2	1
62	в том или	1	1
63	сам по себе	1	1
64	содержит в себе	1	1
65	в данном случае	2	1
66	не только в	2	1
67	с одной стороны	9	1
68	один из наиболее	1	1
69	включающее в себя	1	1
70	может и должен	1	1
71	имеем дело с	1	1
72	потому что в	1	1
73	а не как	1	1
74	в этом направлении	1	1
75	которое может быть	1	1
76	значение в истории	1	1
77	и как бы	3	1
78	они и не	1	1
79	как и в	1	1
80	в свою очередь	3	1
81	но отнюдь не	2	1
82	к одному и	1	1
83	той или иной	3	1
84	заключать в себе	1	1
85	один из важнейших	1	1
86	в другом случае	1	1
87	по мере развития	1	1
88	тех или иных	1	1
89	тем не менее	1	1
90	что во всех	1	1
91	может быть в	1	1
92	подобно тому как	2	1
93	в каждой сфере	1	1
94	которые в целом	1	1
95	не может стать	1	1
96	и в другом	1	1
