N	2gram	Berdyaev_O_1	Dialekti
1	не есть	2	54
2	т е	4	48
3	и не	13	27
4	а не	11	26
5	и в	19	24
6	не только	11	23
7	по себе	2	20
8	не может	4	19
9	ничего не	2	17
10	и есть	3	16
11	и что	1	15
12	что все	2	14
13	то что	5	14
14	что он	3	13
15	вовсе не	1	13
16	может быть	11	13
17	и даже	1	13
18	что это	1	12
19	того что	3	12
20	не имеет	2	11
21	что же	2	11
22	в сущности	1	10
23	не существует	1	10
24	есть не	1	9
25	что она	1	9
26	но и	13	9
27	нет ничего	7	9
28	в этом	12	8
29	и как	1	8
30	это есть	1	8
31	учение о	2	8
32	отличается от	1	8
33	так что	2	8
34	прежде всего	9	8
35	том что	2	8
36	в самом	5	7
37	как и	6	7
38	нет никакого	1	7
39	никогда не	9	7
40	потому что	9	7
41	в виду	1	7
42	даже и	2	7
43	и нет	2	7
44	что в	4	7
45	самом деле	1	6
46	должна быть	1	6
47	и с	2	6
48	вещей и	1	6
49	если бы	1	6
50	что и	2	6
51	о том	3	6
52	так как	2	6
53	и пр	1	6
54	и все	10	6
55	все это	6	6
56	сам по	1	5
57	вопрос о	10	5
58	хотя и	2	5
59	и к	2	5
60	само по	1	5
61	он не	7	5
62	так и	2	5
63	было бы	3	5
64	в них	1	5
65	мы не	1	5
66	и тогда	1	5
67	в том	5	5
68	можно ли	2	5
69	и его	4	5
70	всегда есть	4	5
71	уже не	1	5
72	одно из	2	5
73	что не	4	5
74	что для	2	5
75	как это	1	5
76	ничего нет	1	5
77	но это	1	5
78	личности и	2	5
79	жизни и	1	5
80	и то	2	4
81	чего не	1	4
82	и больше	1	4
83	есть просто	1	4
84	в истории	2	4
85	что нет	1	4
86	это не	3	4
87	истории и	1	4
88	что есть	2	4
89	от того	1	4
90	не могут	3	4
91	а что	1	4
92	и это	1	4
93	нет никакой	1	4
94	о нем	1	4
95	для него	5	4
96	говорит о	1	4
97	у нас	1	4
98	хотя бы	3	4
99	сказать что	2	4
100	была бы	1	3
101	из самых	1	3
102	и тут	1	3
103	и на	2	3
104	и всякий	1	3
105	и я	1	3
106	в одной	1	3
107	границы и	1	3
108	в своем	2	3
109	все же	2	3
110	все эти	4	3
111	на то	1	3
112	в нем	10	3
113	он должен	1	3
114	в силу	1	3
115	бытие и	1	3
116	он и	1	3
117	должно быть	2	3
118	и без	1	3
119	мир и	1	3
120	не в	11	3
121	особого рода	1	3
122	она не	1	3
123	одна из	1	3
124	во всем	1	3
125	я бы	1	3
126	можно и	1	3
127	и о	2	3
128	всего и	2	3
129	и этим	2	3
130	быть может	3	3
131	это было	3	3
132	к нему	3	3
133	все время	1	3
134	и ее	3	3
135	вопрос об	1	3
136	из них	1	3
137	мир в	1	3
138	тем что	2	3
139	для того	3	3
140	и прежде	1	3
141	не было	9	3
142	может ли	1	3
143	его как	1	3
144	в сферу	1	3
145	как бы	3	3
146	и от	3	3
147	и ни	2	3
148	ни к	1	3
149	все что	3	3
150	также и	1	2
151	например в	1	2
152	от самой	1	2
153	в частности	1	2
154	от самого	2	2
155	не имеют	1	2
156	его не	2	2
157	и он	8	2
158	в ней	1	2
159	еще не	3	2
160	с его	4	2
161	но не	1	2
162	своей и	1	2
163	сознания в	1	2
164	но в	2	2
165	то в	1	2
166	тут опять	1	2
167	от бога	1	2
168	думать что	1	2
169	ничего и	2	2
170	в себе	3	2
171	раз навсегда	1	2
172	что нужно	1	2
173	и вот	3	2
174	что у	2	2
175	людей и	1	2
176	только одно	3	2
177	она и	1	2
178	но почему	1	2
179	всяком случае	1	2
180	с которой	2	2
181	что их	1	2
182	только и	4	2
183	ничто не	2	2
184	не вполне	1	2
185	могут быть	3	2
186	все еще	2	2
187	и когда	1	2
188	и здесь	1	2
189	почему же	1	2
190	вообще кроме	1	2
191	в его	7	2
192	природы и	2	2
193	и можно	1	2
194	же можно	2	2
195	как например	1	2
196	их не	2	2
197	со всеми	1	2
198	же и	1	2
199	никто не	3	2
200	ведь это	2	2
201	у него	22	2
202	со стороны	1	2
203	есть момент	1	2
204	а именно	1	2
205	но о	1	2
206	исходит от	1	2
207	и потому	2	2
208	быть не	1	2
209	и формы	1	2
210	тогда уже	2	2
211	плоти и	1	2
212	тогда все	1	2
213	она должна	1	2
214	и для	2	2
