N	3gram	Vinokur_Ku_3	Istorich
1	с другой стороны	3	8
2	и т д	8	8
3	с одной стороны	4	7
4	в этом случае	4	6
5	в том что	8	5
6	до сих пор	8	4
7	не только в	3	4
8	о том что	3	4
9	мы имеем в	1	4
10	вместе с тем	1	3
11	в данном случае	4	3
12	в тех случаях	1	3
13	в то время	1	3
14	тех случаях когда	1	3
15	не может быть	3	3
16	потому что он	1	2
17	но и в	1	2
18	только то что	2	2
19	здесь же мы	1	2
20	так как он	2	2
21	т е в	1	2
22	во всяком случае	1	2
23	по отношению к	2	2
24	а именно что	1	2
25	но все же	1	2
26	после того как	4	2
27	это еще не	1	2
28	можно было бы	10	2
29	что и в	2	2
30	даже в тех	1	2
31	как мы видели	2	2
32	в другом месте	1	1
33	тогда как на	1	1
34	таким образом если	1	1
35	если он не	1	1
36	можно возразить что	1	1
37	следует отметить что	1	1
38	более или менее	2	1
39	в том числе	2	1
40	том что на	1	1
41	в одной из	1	1
42	тем что в	1	1
43	также вопрос о	1	1
44	все эти случаи	1	1
45	мы находим в	1	1
46	что тот или	1	1
47	и не может	1	1
48	в таком случае	2	1
49	в зависимости от	7	1
50	для этой цели	1	1
51	наряду с этим	1	1
52	что все эти	1	1
53	т д но	1	1
54	с тем что	1	1
55	совершенно ясно что	2	1
56	на этот вопрос	1	1
57	то у нас	2	1
58	того как ты	1	1
59	с этой точки	1	1
60	то или иное	2	1
61	и тем не	3	1
62	как он будет	1	1
63	который может быть	1	1
64	так же как	1	1
65	не потому что	1	1
66	что есть еще	1	1
67	еще ничего не	1	1
68	уже выше в	1	1
69	но тут же	1	1
70	так как они	1	1
71	на первых порах	1	1
72	а с другой	3	1
73	это не значит	1	1
74	в связи со	1	1
75	в том смысле	1	1
76	в свое время	2	1
77	этой точки зрения	1	1
78	от того что	2	1
79	том смысле что	1	1
80	так и в	3	1
81	и вместе с	1	1
82	что в ней	1	1
83	точно таким же	1	1
84	в главе о	1	1
85	здесь можно было	2	1
86	как мы видим	1	1
87	тем не менее	9	1
88	то здесь можно	1	1
89	для того чтобы	11	1
90	все тех же	1	1
91	не потому ли	1	1
92	смысле этого слова	2	1
