N	3gram	Tiupa_Lite_2	Problema
1	по отношению к	3	19
2	и т п	2	13
3	не может быть	7	11
4	с точки зрения	3	6
5	в отличие от	1	5
6	дело и с	1	5
7	и прежде всего	1	5
8	в данном случае	3	4
9	с другой стороны	4	4
10	в конечном счете	5	4
11	на самом деле	1	3
12	бы то ни	1	3
13	можно было бы	1	3
14	в основе своей	1	3
15	все то что	1	3
16	с одной стороны	6	3
17	то же время	9	3
18	в том что	5	3
19	в то же	9	3
20	тем не менее	2	3
21	как и для	1	2
22	то же самое	1	2
23	и не может	1	2
24	и в то	1	2
25	то ни было	1	2
26	не могут быть	1	2
27	мы имеем дело	1	2
28	сказать и о	1	2
29	той или иной	1	2
30	для того чтобы	1	2
31	в этом отношении	3	2
32	слова в культуре	1	1
33	а не с	1	1
34	в свою очередь	1	1
35	не говоря уже	2	1
36	подобно тому как	2	1
37	одной стороны и	1	1
38	говоря уже о	2	1
39	же время она	1	1
40	и не менее	1	1
41	мышления о мире	1	1
42	в равной мере	1	1
43	в равной степени	2	1
44	по отношению ко	1	1
45	имеем дело с	1	1
46	в нашем случае	1	1
47	не в том	1	1
48	художественного творчества в	1	1
49	в области поэтики	1	1
50	в свое время	2	1
51	а в том	1	1
52	общего для всех	1	1
53	то есть в	1	1
54	активности направленной на	1	1
55	о мире и	1	1
56	к тому что	1	1
57	быть не может	1	1
