N	3gram	Medvedev_S_1	FransuaR
1	то же время	1	10
2	в то же	1	10
3	в том что	2	6
4	и в то	1	5
5	в настоящее время	1	3
6	в связи с	1	3
7	что все это	1	2
8	с одной стороны	1	2
9	и в таких	1	1
10	по отношению к	2	1
11	том что это	1	1
12	мы переходим к	1	1
13	главным образом в	1	1
14	о том как	1	1
15	нашей работы в	1	1
16	и в этом	1	1
17	а с другой	1	1
18	не в том	2	1
19	и наконец в	1	1
20	только то что	1	1
21	дело конечно не	1	1
22	очень далеки от	1	1
23	сказать и о	1	1
24	выходит за пределы	1	1
25	конечно не в	1	1
26	то же самое	1	1
