N	4gram	Bakhtin_Pr_2	SlovoVZh
1	дело в том что	1	4
2	так как если бы	1	4
3	бы то ни было	1	3
4	но тем не менее	1	2
5	с одной стороны и	1	2
6	одно и то же	2	2
7	в то время как	2	1
8	развитие этой точки зрения	1	1
9	до сих пор не	1	1
10	но в то же	3	1
11	как если бы оно	1	1
12	одна и та же	2	1
13	и не может быть	1	1
14	в то же время	5	1
15	звучит так как если	1	1
16	героя никогда не бывает	1	1
17	каких бы то ни	1	1
18	в самом деле в	1	1
19	может быть более или	2	1
20	быть более или менее	2	1
21	если бы не было	1	1
22	в стиле и в	1	1
23	форма сама по себе	1	1
24	то же время не	1	1
25	что до сих пор	1	1
