N	4gram	Tiupa_Disk_1	formyVre
1	в то же время	3	6
2	одного и того же	2	5
3	и в то же	1	4
4	в одно и то	1	3
5	одно и то же	1	3
6	и то же время	1	3
7	с одной стороны и	2	2
8	дело в том что	1	2
9	в том числе и	2	2
10	всегда строится на мотивах	1	1
11	от отца к сыну	1	1
12	на мотивах превращения и	1	1
13	в истории этого жанра	1	1
14	было и не могло	1	1
15	не только в организации	1	1
16	весьма существенную роль в	1	1
17	говорит о том что	1	1
18	или во всяком случае	1	1
19	строится на мотивах превращения	1	1
20	сами по себе они	1	1
21	не было и не	1	1
22	дошли до нас в	1	1
23	мотивах превращения и тождества	1	1
24	и не могло быть	1	1
25	в том что в	2	1
26	в тех случаях когда	1	1
