N	4gram	Bakhtin_Pr_2	EvropaiC
1	одного и того же	1	3
2	совершенно так же как	2	3
3	в то же время	3	2
4	с точки зрения всякой	1	1
5	в том числе и	2	1
6	и с точки зрения	1	1
7	мы уже говорили что	1	1
8	в том и другом	1	1
9	в том что так	1	1
10	и не может быть	1	1
11	одной и той же	1	1
12	и в том и	1	1
13	и в целом ряде	2	1
14	до сих пор еще	1	1
15	нет и не может	1	1
16	но с другой стороны	1	1
17	дело в том что	1	1
18	что в данном случае	1	1
19	о том что все	1	1
20	в целом ряде других	2	1
21	в то время как	1	1
22	в теснейшей связи с	1	1
