N	3gram	Tiupa_Lite_2	Russkaja
1	то же время	9	10
2	в то же	9	10
3	с точки зрения	3	9
4	в том что	5	7
5	на самом деле	1	6
6	для того чтобы	1	6
7	бы то ни	1	4
8	не может быть	7	4
9	в этом случае	2	3
10	вместе с тем	1	3
11	с тем чтобы	1	3
12	можно было бы	1	3
13	и не может	1	3
14	и то что	1	3
15	в данном случае	3	3
16	в конце концов	1	3
17	той или иной	1	3
18	в зависимость от	1	2
19	на себя как	1	2
20	что он не	1	2
21	в себе и	1	2
22	о том что	2	2
23	к тому что	1	2
24	состоит в том	4	1
25	прежде всего в	1	1
26	в свою очередь	1	1
27	по отношению к	3	1
28	но даже и	1	1
29	в том числе	2	1
30	не может для	1	1
31	то же самое	1	1
32	он не может	1	1
33	по отношению ко	1	1
34	только то что	1	1
35	в этом отношении	3	1
36	том числе и	1	1
37	за то что	2	1
38	таком взгляде на	1	1
39	по крайней мере	2	1
40	жизни и в	1	1
41	при таком взгляде	1	1
42	в том чтобы	3	1
43	как и следовало	1	1
44	то ни было	1	1
45	во всех этих	1	1
46	внутренней и внешней	1	1
47	здесь дело сводится	1	1
48	а в том	1	1
49	тех или иных	1	1
50	когда речь идет	1	1
51	речь шла о	1	1
52	же время она	1	1
53	дело сводится к	1	1
54	речь идет о	3	1
55	том что только	1	1
56	тем не менее	2	1
57	и прежде всего	1	1
58	быть не может	1	1
