N	3gram	Vinokur_Ku_3	Tvorches
1	в то же	1	13
2	то же время	1	12
3	в том что	8	6
4	о том что	3	5
5	в конечном счете	1	4
6	на самом деле	3	2
7	в одной из	1	2
8	и т п	41	2
9	по крайней мере	1	2
10	в своей известной	1	2
11	в данном случае	4	2
12	не только в	3	2
13	в каждом человеке	1	2
14	и в то	1	2
15	тем не менее	9	2
16	хотя и не	1	1
17	между прочим в	1	1
18	и того же	2	1
19	чуть ли не	1	1
20	то же самое	1	1
21	что же касается	1	1
22	по отношению к	2	1
23	о чем и	1	1
24	до сих пор	8	1
25	т п где	1	1
26	хотя бы и	1	1
27	что он не	1	1
28	в отличие от	2	1
29	в первую очередь	3	1
30	а может быть	1	1
31	только то что	2	1
32	не могут быть	2	1
33	а вместе с	1	1
34	бы то ни	1	1
35	это вовсе не	1	1
36	вместе с тем	1	1
37	не то что	1	1
38	и тем не	3	1
39	ту или иную	1	1
40	бы говорить о	1	1
41	насчет того что	1	1
42	войне и мире	1	1
43	с одной стороны	4	1
44	в известном смысле	2	1
45	не только для	1	1
46	в связи с	4	1
47	это не значит	1	1
48	вряд ли в	1	1
49	о внутренней форме	1	1
50	могут быть без	1	1
51	не заметить что	1	1
52	в войне и	1	1
53	своей известной книге	1	1
54	заключается в том	1	1
55	в свою очередь	1	1
56	и в самом	4	1
57	данном случае гораздо	1	1
58	чем у нас	1	1
59	мы имеем в	1	1
60	один из самых	1	1
61	с другой стороны	3	1
62	одного и того	2	1
63	сплошь и рядом	3	1
64	не совсем еще	1	1
65	к тому что	1	1
66	занятия так как	1	1
67	дело не в	2	1
68	а если мы	1	1
69	к тому же	2	1
70	и т д	8	1
