N	2gram	Nazirov_Vr_1	Myslijsy
1	потому что	1	46
2	в том	3	32
3	и в	8	30
4	может быть	4	28
5	то же	5	23
6	не только	9	21
7	для нас	4	20
8	но и	7	19
9	того что	1	18
10	том что	3	18
11	то что	7	18
12	не есть	1	17
13	что в	7	17
14	в себе	2	16
15	и не	5	15
16	таким образом	2	14
17	вместе с	2	12
18	а в	2	12
19	точно так	1	12
20	так и	1	11
21	как в	1	10
22	в этом	8	10
23	в душе	1	10
24	как и	6	10
25	в то	5	10
26	и что	8	10
27	в нем	6	9
28	было бы	1	9
29	между тем	5	9
30	для него	2	9
31	и то	2	8
32	в ней	4	8
33	в самом	1	8
34	от того	1	8
35	только что	1	8
36	что слово	1	7
37	но не	1	7
38	тем самым	1	7
39	тем что	3	7
40	с другой	1	7
41	с этим	1	6
42	же с	1	6
43	с ним	4	6
44	не имеет	1	6
45	там же	2	6
46	что он	4	6
47	уже не	2	6
48	из них	2	6
49	не может	2	6
50	что только	1	6
51	но это	2	6
52	человека и	1	5
53	еще не	2	5
54	независимо от	1	5
55	по которому	1	5
56	в своем	3	5
57	и как	3	5
58	одно и	1	5
59	в них	2	5
60	что я	2	5
61	по крайней	1	5
62	же время	5	5
63	как на	1	5
64	в каком	1	5
65	не менее	2	5
66	крайней мере	1	5
67	уже в	4	5
68	только по	1	5
69	только как	1	5
70	столь же	2	4
71	не все	1	4
72	не было	5	4
73	что это	1	4
74	он не	3	4
75	себе не	1	4
76	в котором	6	4
77	того как	1	4
78	это слово	1	4
79	и его	3	4
80	до того	1	4
81	на это	2	4
82	и это	2	4
83	то время	1	4
84	можно бы	1	4
85	в его	3	4
86	один из	1	4
87	все равно	1	4
88	далеко не	3	4
89	что для	1	4
90	все это	4	4
91	и от	1	4
92	тем более	2	4
93	другой стороны	1	4
94	все что	1	4
95	и есть	1	3
96	говорить о	1	3
97	в чем	3	3
98	ответ на	2	3
99	дает нам	1	3
100	в целом	1	3
101	при этом	4	3
102	в силу	1	3
103	на свое	1	3
104	не будет	1	3
105	его в	3	3
106	этого не	1	3
107	как бы	4	3
108	место в	2	3
109	тем не	1	3
110	есть еще	1	3
111	могут быть	1	3
112	свою очередь	1	3
113	из двух	1	3
114	том как	1	3
115	быть может	1	3
116	и вообще	1	3
117	это было	1	3
118	к нему	1	3
119	вслед за	1	3
120	в начале	6	3
121	никто не	1	3
122	прежде всего	1	3
123	друг друга	1	3
124	до сих	1	3
125	именно в	1	3
126	такое же	1	3
127	только от	1	3
128	так же	4	3
129	за тем	1	3
130	указанием на	1	3
131	сих пор	1	3
132	от нас	1	3
133	это можно	1	3
134	и все	7	3
135	в свою	2	3
136	к этому	3	3
137	в таком	1	3
138	а между	1	2
139	это и	1	2
140	в их	1	2
141	той же	1	2
142	содержания в	1	2
143	что уже	1	2
144	он как	1	2
145	все в	1	2
146	на свою	1	2
147	ему в	1	2
148	одним словом	1	2
149	а тем	1	2
150	то он	1	2
151	с любовью	1	2
152	тогда как	2	2
153	отношение к	2	2
154	это сравнение	1	2
155	что они	1	2
156	все же	6	2
157	целый ряд	4	2
158	при создании	2	2
159	в этой	2	2
160	на то	3	2
161	свое место	1	2
162	не могла	1	2
163	из него	1	2
164	что ни	1	2
165	людей и	1	2
166	время и	2	2
167	как при	1	2
168	не всегда	1	2
169	несмотря на	4	2
170	во время	2	2
171	точки зрения	2	2
172	в своей	2	2
173	в мысли	1	2
174	их в	2	2
175	том же	2	2
176	что есть	3	2
177	что эта	1	2
178	как о	1	2
179	только не	1	2
180	такая же	1	2
181	этом отношении	1	2
182	ему не	1	2
183	его с	2	2
184	ничего общего	1	2
185	и о	3	2
186	в ее	1	2
187	только при	1	2
188	так в	2	2
189	во многом	4	2
190	и с	6	2
191	об этом	5	2
192	о том	4	2
193	но мы	1	2
194	его жизни	1	2
195	от них	1	2
196	я думаю	1	2
197	в форме	1	2
198	но как	2	2
199	связи с	3	2
200	с нею	2	2
201	в одном	1	2
202	у него	5	2
203	и даже	6	2
204	тут же	1	2
205	а с	2	2
206	души и	1	2
207	эти слова	3	2
208	ко всем	1	2
209	по своему	1	2
210	что же	1	2
211	что как	1	2
212	еще раз	1	2
213	уже на	1	2
214	бы в	1	2
215	и наконец	1	2
216	же в	2	2
217	отношении к	1	2
218	в свое	1	2
219	жизни и	1	2
220	это в	2	2
