N	2gram	Ircho_Kome_3	Psycholo
1	то что	4	37
2	и в	22	30
3	в том	12	27
4	что в	5	24
5	и что	6	23
6	потому что	10	23
7	том что	13	21
8	того чтобы	6	20
9	таким образом	12	20
10	все время	2	20
11	для того	6	20
12	как бы	3	19
13	на то	3	17
14	что он	8	17
15	не только	5	16
16	и мы	3	16
17	если мы	2	16
18	в трагедии	1	15
19	в этом	8	14
20	в самом	9	14
21	как раз	6	13
22	так же	4	13
23	в сущности	2	12
24	с одной	3	12
25	одной стороны	3	12
26	вместе с	9	12
27	может быть	6	11
28	если бы	8	11
29	что мы	2	11
30	как на	1	11
31	о том	8	10
32	никогда не	3	9
33	и когда	1	9
34	так как	11	9
35	с другой	4	9
36	для этого	1	9
37	не может	3	9
38	сказать что	1	9
39	самом деле	6	8
40	мы имеем	1	8
41	он должен	1	8
42	при этом	7	8
43	с тем	4	8
44	не в	4	8
45	к тому	6	8
46	и это	2	8
47	тому что	2	8
48	мы видим	1	8
49	а не	4	8
50	могут быть	1	8
51	и т	4	7
52	то же	7	7
53	зависимости от	1	7
54	но не	1	7
55	все же	4	7
56	и как	1	7
57	в нем	3	7
58	точки зрения	4	7
59	в основе	2	7
60	мы можем	3	7
61	действующих лиц	1	7
62	как это	5	7
63	в зависимости	1	6
64	в своем	8	6
65	и если	2	6
66	что она	4	6
67	на этом	1	6
68	что все	1	6
69	ясно что	6	6
70	как и	3	6
71	никак не	1	6
72	что с	2	6
73	и его	6	6
74	или в	1	6
75	и здесь	4	6
76	о котором	1	6
77	по мнению	2	6
78	и тем	1	6
79	уже в	2	6
80	тем что	5	6
81	но и	4	6
82	же точно	1	6
83	и не	21	6
84	и для	4	6
85	совершенно не	2	6
86	жизни и	1	6
87	еще не	6	5
88	по этому	1	5
89	ответ на	1	5
90	что они	2	5
91	когда он	4	5
92	в себе	4	5
93	в целом	3	5
94	в этой	3	5
95	было бы	3	5
96	несмотря на	4	5
97	был бы	2	5
98	сих пор	9	5
99	же самое	3	5
100	как мы	2	5
101	но в	5	5
102	сводится к	1	5
103	один из	3	5
104	в двух	3	5
105	дело с	3	5
106	только в	1	5
107	до сих	9	5
108	а с	1	5
109	и потому	1	5
110	бы в	4	5
111	другой стороны	2	5
112	в своих	2	5
113	как только	1	4
114	то это	5	4
115	в виду	2	4
116	в ней	4	4
117	стороны и	2	4
118	могли бы	1	4
119	и к	3	4
120	в них	3	4
121	в своей	5	4
122	что эта	2	4
123	из которых	2	4
124	указывает на	1	4
125	по сравнению	2	4
126	действия и	1	4
127	и совершенно	1	4
128	этому поводу	1	4
129	в его	8	4
130	на одном	1	4
131	только что	7	4
132	только на	1	4
133	в конце	7	4
134	должен был	4	4
135	от того	2	4
136	говорит о	1	4
137	прежде всего	5	4
138	как ни	1	4
139	в частности	3	4
140	о чем	7	4
141	сравнению с	2	4
142	именно это	1	4
143	в результате	2	4
144	и все	2	4
145	а в	7	4
146	тем же	3	3
147	в их	2	3
148	той же	1	3
149	мы не	2	3
150	и о	2	3
151	из того	3	3
152	и на	2	3
153	первый план	1	3
154	в ее	3	3
155	он говорит	2	3
156	как в	2	3
157	и наконец	1	3
158	в которой	3	3
159	чем больше	1	3
160	из этих	1	3
161	на его	2	3
162	он не	5	3
163	состоит в	2	3
164	не как	2	3
165	в силу	2	3
166	чувства в	1	3
167	что ни	3	3
168	можно было	2	3
169	человека в	2	3
170	в другом	2	3
171	об этом	7	3
172	это не	2	3
173	т д	1	3
174	меньше всего	4	3
175	ни в	10	3
176	показывает что	1	3
177	в этих	1	3
178	вопрос о	1	3
179	но он	1	3
180	и вся	1	3
181	вовсе не	4	3
182	самого начала	4	3
183	он только	1	3
184	находятся в	1	3
185	этом отношении	2	3
186	с другом	1	3
187	не могут	2	3
188	образом что	1	3
189	что при	1	3
190	с самого	4	3
191	что у	1	3
192	так и	4	3
193	времени и	1	3
194	это только	1	3
195	именно потому	2	3
196	и поэтому	4	3
197	что и	8	3
198	и только	1	3
199	что здесь	1	3
200	тот же	2	3
201	так что	6	3
202	с двумя	1	3
203	т п	4	3
204	в состоянии	1	3
205	у него	4	3
206	из двух	1	3
207	что на	1	3
208	со стороны	11	3
209	эти две	1	3
210	и между	1	3
211	на этот	3	3
212	была бы	1	3
213	с которым	1	3
214	под влиянием	2	3
215	друг с	1	3
216	как из	2	3
217	формы и	1	3
218	для нас	1	3
219	целый ряд	2	3
220	хотя бы	4	3
221	обстоит дело	2	3
222	в свою	7	3
223	в лучшем	1	3
224	по поводу	1	3
225	это в	2	3
226	к этому	6	3
227	в таком	2	3
228	того же	6	2
229	к другому	1	2
230	отношения между	1	2
231	и до	1	2
232	в действие	1	2
233	едва ли	7	2
234	отношения к	2	2
235	а как	2	2
236	если я	1	2
237	не кажется	1	2
238	это совершенно	1	2
239	что между	1	2
240	время как	2	2
241	для нашей	1	2
242	и он	2	2
243	собой в	1	2
244	он был	4	2
245	между собой	4	2
246	не найдем	1	2
247	со словами	1	2
248	с его	3	2
249	во всех	2	2
250	по отношению	5	2
251	очевидно что	1	2
252	себе и	1	2
253	отличие от	2	2
254	друг от	1	2
255	в одной	1	2
256	от друга	1	2
257	его на	2	2
258	с этим	3	2
259	перед нами	1	2
260	что по	1	2
261	и хотя	2	2
262	стороны мы	1	2
263	все эти	1	2
264	в ответ	1	2
265	в нашем	1	2
266	к самому	1	2
267	еще один	1	2
268	как он	3	2
269	в нашей	1	2
270	образом и	1	2
271	том чтобы	1	2
272	в нее	1	2
273	но все	4	2
274	в каждом	1	2
275	совпадают с	4	2
276	а затем	2	2
277	же не	1	2
278	и дальше	1	2
279	и с	4	2
280	говорил что	1	2
281	образом если	1	2
282	в глазах	8	2
283	из них	5	2
284	на сцене	1	2
285	материал для	1	2
286	он является	1	2
287	все равно	3	2
288	чем в	3	2
289	на первый	1	2
290	бы на	1	2
291	как все	1	2
292	это делает	1	2
293	в котором	2	2
294	с точки	3	2
295	в отличие	1	2
296	в которых	5	2
297	том и	1	2
298	и под	1	2
299	в отношении	4	2
300	бы сразу	1	2
301	с которой	1	2
302	в то	6	2
303	что ему	2	2
304	того как	1	2
305	что их	2	2
306	к этим	1	2
307	во всем	1	2
308	со своим	1	2
309	и почему	1	2
310	говоря что	1	2
311	все то	1	2
312	нет ни	2	2
313	ли не	2	2
314	если же	2	2
315	любовь в	1	2
316	должен быть	2	2
317	знаем что	1	2
318	в себя	1	2
319	приводит к	3	2
320	не с	2	2
321	мог бы	1	2
