N	2gram	Nazirov_Tr_1	OGranits
1	и в	18	13
2	и его	6	12
3	прежде всего	4	9
4	может быть	7	8
5	не может	5	8
6	и не	7	8
7	в его	3	7
8	и их	1	7
9	только в	1	6
10	как бы	7	6
11	не только	8	6
12	то что	4	6
13	таким образом	1	6
14	и т.д	1	5
15	все же	5	5
16	и наконец	1	5
17	хотя бы	1	5
18	и эта	1	5
19	но мы	1	4
20	но в	6	4
21	то же	5	4
22	лишь в	1	4
23	в своей	1	4
24	все это	4	4
25	в двух	1	4
26	не является	1	4
27	вряд ли	2	3
28	и то	2	3
29	в ее	2	3
30	самом деле	1	3
31	так и	5	3
32	понятно что	1	3
33	похожим на	1	3
34	за пределы	1	3
35	в которой	1	3
36	в себе	4	3
37	к одному	1	3
38	не как	1	3
39	в одном	2	3
40	здесь мы	1	3
41	но и	4	3
42	как и	5	3
43	я хочу	1	3
44	не в	2	3
45	хочу быть	1	3
46	никогда не	2	3
47	и все	4	3
48	не столько	1	3
49	что в	4	3
50	и др	1	2
51	данном случае	2	2
52	роль в	1	2
53	на две	1	2
54	конечно в	1	2
55	мог бы	3	2
56	с самого	1	2
57	и должно	1	2
58	в ней	1	2
59	этого социального	1	2
60	а также	1	2
61	в чем	1	2
62	мы понимаем	1	2
63	между тем	1	2
64	в общем	1	2
65	нуждается в	1	2
66	к сожалению	1	2
67	чем же	1	2
68	материалом для	1	2
69	случае и	1	2
70	как в	3	2
71	в данном	2	2
72	в этом	9	2
73	в том	2	2
74	мы видим	1	2
75	с ними	1	2
76	с г	2	2
77	в целом	4	2
78	все эти	3	2
79	с одной	1	2
80	уже в	3	2
81	в нем	4	2
82	при этом	3	2
83	для него	3	2
84	в другом	1	2
85	тем что	2	2
86	в них	1	2
87	в области	1	2
88	а как	2	2
89	в самом	2	2
90	а не	1	2
91	не мог	2	2
92	несмотря на	5	2
93	в связи	1	2
94	том что	4	2
95	с помощью	1	2
96	и при	1	2
97	и ее	2	2
98	так же	4	2
99	своего рода	3	2
100	с этой	1	2
101	не менее	1	2
102	что эта	1	2
103	самого начала	1	2
104	не имеет	2	2
105	в книге	1	2
106	бы в	1	2
107	во всем	1	2
108	еще в	2	2
109	героя и	1	2
110	могут быть	1	2
111	к тому	2	2
112	и это	2	1
113	не думает	1	1
114	одним из	1	1
115	xvii века	1	1
116	человека и	1	1
117	в виду	1	1
118	это и	1	1
119	и есть	1	1
120	ту же	1	1
121	я ей	1	1
122	и до	2	1
123	он всегда	4	1
124	вспомнить о	1	1
125	в образе	6	1
126	можно было	1	1
127	в борьбе	1	1
128	отождествляется с	1	1
129	когда в	1	1
130	и о	1	1
131	но у	1	1
132	вопрос о	2	1
133	быть может	1	1
134	по себе	1	1
135	исследования в	1	1
136	но может	1	1
137	его за	2	1
138	на себя	1	1
139	с ее	3	1
140	и который	1	1
141	часто и	1	1
142	событий и	1	1
143	ему в	1	1
144	как свой	1	1
145	в мире	3	1
146	и он	3	1
147	всем протяжении	1	1
148	и что	4	1
149	еще не	4	1
150	к счастью	1	1
151	столь же	2	1
152	времени в	2	1
153	к нему	3	1
154	но не	1	1
155	мысль что	1	1
156	отношение к	2	1
157	отметить что	1	1
158	тут же	2	1
159	и достоевский	1	1
160	детей и	1	1
161	в истории	1	1
162	эта связь	1	1
163	в своем	3	1
164	по своей	1	1
165	один из	3	1
166	князь мышкин	2	1
167	творца и	1	1
168	у в	1	1
169	и как	3	1
170	что он	6	1
171	роль играет	1	1
172	который в	2	1
173	в этой	4	1
174	в дальнейшем	5	1
175	на всем	2	1
176	жизнь как	1	1
177	только на	1	1
178	если он	1	1
179	и если	1	1
180	и чисто	1	1
181	что она	2	1
182	не из	1	1
183	форму то	1	1
184	одно из	1	1
185	никто не	3	1
186	в виде	2	1
187	сказал что	1	1
188	и один	1	1
189	в конце	3	1
190	и должна	1	1
191	что без	1	1
192	пустоту и	1	1
193	сильнее и	1	1
194	отличие от	2	1
195	на этом	1	1
196	ее жизни	2	1
197	и вместе	1	1
198	же не	1	1
199	на всю	1	1
200	в особенности	1	1
201	на все	1	1
202	не нашел	1	1
203	и здесь	2	1
204	его в	2	1
205	и лучше	2	1
206	как же	2	1
207	заключается в	1	1
208	под заглавием	1	1
209	только к	2	1
210	обратиться к	1	1
211	этом мы	1	1
212	не было	1	1
213	а на	1	1
214	позиции в	1	1
215	которой он	1	1
216	он и	2	1
217	когда я	1	1
218	и вне	1	1
219	все время	1	1
220	отнюдь не	3	1
221	должно быть	3	1
222	не смог	1	1
223	связаны между	1	1
224	но при	2	1
225	но если	1	1
226	эти слова	1	1
227	и особенно	1	1
228	довольно распространенного	1	1
229	ко всем	1	1
230	к истории	1	1
231	в такой	1	1
232	как это	3	1
233	представление о	1	1
234	в отличие	2	1
235	и вот	1	1
236	своей вечной	1	1
237	тем не	1	1
238	в эпоху	1	1
239	речи в	1	1
240	для понимания	1	1
241	быть не	1	1
242	этого слова	1	1
243	тому что	1	1
244	в условиях	1	1
245	до конца	2	1
246	вплоть до	1	1
247	но это	4	1
248	к обществу	2	1
249	обратимся к	1	1
250	в то	5	1
251	одна из	2	1
252	того чтобы	1	1
253	при таком	1	1
254	и тонкие	1	1
255	как система	1	1
256	того как	1	1
257	не протекал	1	1
258	в самой	1	1
259	целей а	1	1
260	же время	6	1
261	или как	1	1
262	от него	1	1
263	литературы от	1	1
264	только что	1	1
265	потому что	2	1
266	связи с	1	1
267	же слова	1	1
268	не вполне	1	1
269	об этом	4	1
270	феномен который	1	1
271	встречался с	1	1
272	с его	2	1
273	только о	2	1
274	вместе с	1	1
275	ведь уже	1	1
276	к речи	1	1
277	например в	1	1
278	по поводу	2	1
279	что при	1	1
