N	3gram	Berdyaev_N_1	Formalny
1	до сих пор	1	6
2	не может быть	4	5
3	с одной стороны	2	4
4	во всяком случае	1	4
5	и не менее	1	3
6	и не в	1	2
7	и не может	1	2
8	в зависимости от	1	2
9	сами по себе	1	2
10	в большинстве случаев	1	2
11	в том чтобы	1	2
12	в социальной жизни	1	2
13	для этого она	1	1
14	все это формы	1	1
15	в этом смысле	2	1
16	в том и	2	1
17	же как и	1	1
18	и во всех	1	1
19	приводит к отрицанию	1	1
20	в том что	1	1
21	но и в	1	1
22	но для этого	1	1
23	том числе и	1	1
24	в то что	1	1
25	и в истории	1	1
26	со всех сторон	3	1
27	не начало нового	1	1
28	вместе с тем	2	1
29	жизни а это	1	1
30	в высшей степени	6	1
31	еще не было	1	1
32	в отличие от	1	1
33	это конечно не	1	1
34	в новое время	1	1
35	с другой стороны	2	1
36	так же как	2	1
37	как это делали	1	1
38	том и заключается	2	1
39	и к ней	1	1
40	и заключается что	2	1
41	та или иная	1	1
42	она не должна	1	1
43	и до сих	1	1
44	это значит что	1	1
45	в том числе	1	1
46	выходит за пределы	1	1
47	по своей природе	1	1
