N	2gram	Bakhtin_fo_1	Istorich
1	что он	1	24
2	и т	8	19
3	не только	9	18
4	может быть	11	17
5	мы имеем	1	15
6	и в	50	15
7	никогда не	2	15
8	так как	6	14
9	но и	8	14
10	так же	6	13
11	что в	5	12
12	то что	6	12
13	а в	3	12
14	в этом	25	11
15	об этом	2	11
16	в этих	3	11
17	и не	14	11
18	то же	11	10
19	его в	3	10
20	еще не	5	9
21	все же	6	9
22	в другом	1	9
23	с тем	3	9
24	и здесь	1	9
25	потому что	4	9
26	должны были	1	8
27	он не	5	8
28	связи с	6	8
29	один из	3	8
30	мы увидим	1	8
31	очень много	1	8
32	мы можем	1	8
33	мы видим	3	8
34	в нем	24	7
35	таким образом	11	7
36	том что	4	7
37	не в	5	7
38	ничего не	9	7
39	смерти и	1	7
40	вместе с	3	7
41	сих пор	3	7
42	связана с	1	6
43	но в	10	6
44	что это	1	6
45	в его	13	6
46	что и	3	6
47	мы уже	11	6
48	так что	1	6
49	до сих	3	6
50	наряду с	5	6
51	как бы	2	6
52	в том	9	6
53	только в	4	6
54	же как	2	5
55	и есть	1	5
56	этого мотива	1	5
57	как в	6	5
58	с этим	6	5
59	и наконец	1	5
60	имеем в	1	5
61	но все	5	5
62	было бы	2	5
63	попадает в	2	5
64	в котором	4	5
65	так и	12	5
66	связан с	1	5
67	она не	1	5
68	в одном	3	5
69	прежде всего	15	5
70	а не	3	5
71	в связи	5	5
72	не может	6	5
73	этом случае	1	5
74	к тому	3	5
75	со всех	1	4
76	всех сторон	1	4
77	в ней	4	4
78	и на	8	4
79	в себе	3	4
80	все эти	9	4
81	в этой	1	4
82	и они	1	4
83	при этом	3	4
84	уже видели	1	4
85	и с	4	4
86	вопрос о	2	4
87	но он	2	4
88	но они	3	4
89	дело не	1	4
90	для нас	2	4
91	или на	1	4
92	с одной	3	4
93	пока не	1	4
94	его и	2	4
95	у него	6	4
96	тем что	2	4
97	и др	9	4
98	как она	2	4
99	мы должны	2	4
100	одной из	3	4
101	к этой	1	4
102	и другие	5	4
103	они не	3	4
104	в доме	1	3
105	мы не	3	3
106	не происходит	1	3
107	не совсем	1	3
108	он был	1	3
109	увидим что	1	3
110	из этих	1	3
111	как он	2	3
112	на то	1	3
113	всех этих	5	3
114	здесь мы	1	3
115	уже знаем	1	3
116	в их	6	3
117	что этот	1	3
118	и его	16	3
119	и это	4	3
120	но по	2	3
121	в каких	1	3
122	в себя	1	3
123	так в	1	3
124	роль в	9	3
125	о том	1	3
126	того что	2	3
127	герой в	1	3
128	в качестве	3	3
129	же и	2	3
130	по отношению	3	3
131	в дом	2	3
132	в других	9	3
133	одной стороны	2	3
134	с мотивом	3	3
135	что мы	2	3
136	все это	4	3
137	между прочим	1	3
138	силу и	1	3
139	уже на	2	3
140	не обладает	1	3
141	отношению к	5	3
142	например в	6	2
143	самом деле	1	2
144	и ничего	1	2
145	и для	4	2
146	в сущности	3	2
147	принадлежит к	2	2
148	я не	1	2
149	ни один	1	2
150	хотя бы	2	2
151	они были	2	2
152	для наших	1	2
153	не знают	1	2
154	и то	4	2
155	в которых	2	2
156	во всех	6	2
157	но не	5	2
158	его на	2	2
159	пути в	1	2
160	перед нами	1	2
161	никаких следов	2	2
162	но его	1	2
163	в которой	2	2
164	тому же	2	2
165	не могла	1	2
166	главным образом	1	2
167	вера в	2	2
168	так сказать	7	2
169	он должен	2	2
170	и по	2	2
171	человека в	17	2
172	могла бы	1	2
173	и может	2	2
174	из них	1	2
175	той же	2	2
176	на этой	4	2
177	с другими	3	2
178	это не	6	2
179	и дает	3	2
180	в жизни	6	2
181	ни в	8	2
182	она и	1	2
183	как и	8	2
184	нигде не	1	2
185	превращение в	2	2
186	в эту	1	2
187	во время	1	2
188	эта черта	3	2
189	и ее	3	2
190	не столько	1	2
191	он дает	1	2
192	превращения в	5	2
193	и более	1	2
194	их в	3	2
195	в таких	1	2
196	что происходит	1	2
197	на три	1	2
198	с которой	1	2
199	самого начала	2	2
200	одна из	2	2
201	здесь на	4	2
202	но очень	2	2
203	в русском	1	2
204	нам важно	1	2
205	так называемый	2	2
206	здесь нет	3	2
207	кроме того	4	2
208	был бы	3	2
209	же мы	1	2
210	к себе	4	2
211	когда мы	1	2
212	могут быть	5	2
213	он видит	1	2
214	и стали	1	2
215	не говорится	1	2
216	того чтобы	5	2
217	с ее	6	2
218	в виду	3	2
219	здесь не	4	2
220	на другой	2	2
221	совершенно ясно	1	2
222	уже с	1	2
223	с самого	2	2
224	приводит к	1	2
225	живет в	1	2
226	одно из	3	2
227	в разных	5	2
228	находится в	1	2
229	другом месте	1	2
230	в глаза	2	2
231	с другой	2	2
232	а также	2	2
233	и власть	1	2
234	тот момент	1	2
235	также в	1	2
236	они приобретают	2	2
237	к ней	2	2
238	в него	1	2
239	оказывается что	2	2
240	с ними	1	2
241	проникнуть в	1	2
242	уже в	2	2
243	не знал	1	2
244	является не	1	2
245	при помощи	1	2
246	он имеет	1	2
247	и их	8	2
248	тут же	1	2
249	и только	1	2
250	не было	7	2
251	в особенности	9	2
252	о своей	2	2
253	именно в	3	2
254	здесь в	2	2
255	себя и	3	2
256	но есть	1	2
257	в некоторых	2	2
258	что им	1	2
259	которой герой	1	2
260	становится ясным	1	2
261	нет ничего	4	2
262	времени уже	1	2
263	смысле этого	1	2
264	в тех	1	2
265	происходит в	2	2
266	да и	3	2
267	по существу	12	2
268	ко мне	1	2
269	в основном	5	2
270	которые были	1	2
271	или в	3	2
272	и вызывает	1	2
273	не знает	3	2
274	сказать что	3	2
275	на один	2	2
276	ее в	2	2
277	и наиболее	1	1
278	указывает ему	1	1
279	века но	1	1
280	его здесь	1	1
281	он может	1	1
282	в стороне	2	1
283	к своей	2	1
284	к сыну	1	1
285	это очень	1	1
286	не имеют	3	1
287	оно было	1	1
288	высшей степени	1	1
289	в зависимости	1	1
290	и за	1	1
291	по его	1	1
292	их и	2	1
293	а как	3	1
294	есть не	3	1
295	теперь мы	1	1
296	большую роль	3	1
297	но она	2	1
298	на себя	2	1
299	что можно	1	1
300	их не	1	1
301	же что	2	1
302	зависимости от	1	1
303	и он	1	1
304	форм в	1	1
305	это время	7	1
306	вопрос об	1	1
307	в отличие	2	1
308	и много	1	1
309	он сам	1	1
310	след в	1	1
311	с его	9	1
312	самому герою	1	1
313	на основе	2	1
314	но как	1	1
315	а только	2	1
316	мы нашли	1	1
317	отличие от	2	1
318	в свои	1	1
319	отнюдь не	5	1
320	герою и	2	1
321	в истории	2	1
322	в центре	2	1
323	другой день	2	1
324	в течение	2	1
325	внутренняя жизнь	2	1
326	мы также	1	1
327	однако не	1	1
328	вопросом о	1	1
329	и как	10	1
330	не зная	2	1
331	и тот	1	1
332	и к	2	1
333	себе не	1	1
334	он на	1	1
335	от этого	2	1
336	в этот	2	1
337	и этим	1	1
338	со своей	3	1
339	животных и	1	1
340	умирает и	1	1
341	в целом	2	1
342	себя к	1	1
343	вот когда	1	1
344	видим и	1	1
345	но на	4	1
346	его но	3	1
347	человек не	1	1
348	образ и	1	1
349	как оно	2	1
350	чтобы они	4	1
351	же здесь	1	1
352	с нашим	1	1
353	оно должно	1	1
354	но вместе	1	1
355	достаточно указать	1	1
356	и которые	1	1
357	но дело	2	1
358	с собой	1	1
359	в основу	3	1
360	человек а	1	1
361	связанные с	1	1
362	в совершенно	1	1
363	них не	1	1
364	здесь то	1	1
365	для своей	1	1
366	иногда сам	1	1
367	входит в	3	1
368	это было	1	1
