N	3gram	Nazirov_Tr_1	Vvedenie
1	в том что	2	12
2	о том что	2	12
3	не может быть	1	8
4	тем не менее	1	8
5	в самом деле	1	6
6	в применении к	1	6
7	то же время	5	6
8	в то же	5	6
9	и т п	1	5
10	в этом случае	1	4
11	в данном случае	2	4
12	и в этом	1	4
13	по сравнению с	1	4
14	во всяком случае	1	4
15	но в то	2	3
16	и в самом	2	3
17	но все же	2	3
18	в чем же	1	2
19	хотя бы и	1	2
20	точно так же	2	2
21	в известной мере	1	2
22	в конце концов	1	2
23	смысле этого слова	1	2
24	не могут быть	1	2
25	в связи с	1	2
26	на вопрос о	1	2
27	может быть в	1	2
28	а между тем	1	1
29	но это уже	1	1
30	не только по	1	1
31	сам по себе	1	1
32	в отличие от	2	1
33	романа достоевского в	1	1
34	и в дальнейшем	2	1
35	объясняется и то	1	1
36	именно в связи	1	1
37	но если он	1	1
38	и то что	1	1
39	это не просто	1	1
40	бы и не	1	1
41	это может быть	1	1
42	в общем смысле	1	1
43	уже не к	1	1
44	может быть не	1	1
45	то вряд ли	1	1
46	в точности соответствует	1	1
47	что в ней	1	1
48	с самого начала	1	1
49	вряд ли есть	1	1
50	сохраняет свое значение	1	1
51	как своего рода	1	1
52	после того как	1	1
53	к тому что	1	1
