N	3gram	Savitsky_E_1	Myslijsy
1	более или менее	1	8
2	во всяком случае	3	7
3	в том что	6	7
4	и того же	1	6
5	в свою очередь	2	6
6	одного и того	1	6
7	то и другое	1	4
8	в то время	1	4
9	заключает в себе	3	4
10	в том смысле	1	4
11	на то что	2	3
12	то время как	1	3
13	с одной стороны	8	3
14	смысле этого слова	1	3
15	не могут быть	1	3
16	по себе не	2	3
17	мы не можем	1	3
18	как бы ни	3	3
19	и т д	1	3
20	нам кажется что	2	2
21	не заключает в	1	2
22	то что в	2	2
23	можно думать что	3	2
24	в некоторых случаях	1	2
25	с другой стороны	2	2
26	для того чтобы	5	2
27	то же время	14	2
28	так и в	2	2
29	само по себе	4	2
30	не может быть	2	2
31	но не в	1	2
32	в этом смысле	3	2
33	в то же	15	2
34	и не имеет	2	2
35	только тогда когда	1	2
36	и связанное с	1	1
37	один и тот	1	1
38	его мысль о	1	1
39	дело в том	1	1
40	но так как	1	1
41	имеет место в	2	1
42	большей или меньшей	1	1
43	и та и	1	1
44	можно сказать даже	1	1
45	все же следует	1	1
46	то есть к	1	1
47	что само по	1	1
48	одной стороны и	6	1
49	что же касается	1	1
50	друг от друга	2	1
51	на себе влияние	1	1
52	вероятно что в	1	1
53	и во многих	1	1
54	во многих других	1	1
55	только в том	2	1
56	и то и	1	1
57	большего или меньшего	1	1
58	том случае если	1	1
59	в отличие от	1	1
60	бы то ни	4	1
61	из того что	2	1
62	с тем что	1	1
63	та и другая	1	1
64	связанное с ним	1	1
65	при помощи этого	1	1
66	с этой точки	5	1
67	и не в	1	1
68	в том случае	1	1
69	но само по	1	1
70	не только те	1	1
71	то ни было	4	1
72	тем в одном	1	1
73	в применении к	3	1
74	по сравнению с	2	1
75	между тем в	3	1
76	во всех этих	1	1
77	в большей или	1	1
78	в связи с	1	1
79	есть не только	2	1
80	но не только	2	1
81	друг к другу	1	1
82	и тот же	1	1
83	о которых мы	1	1
84	и притом с	1	1
85	для человеческого развития	1	1
86	имеет для нас	1	1
87	в переводе на	1	1
88	не имеет значения	1	1
89	теплоты то есть	1	1
90	что и сам	1	1
91	которые мы будем	1	1
92	том смысле что	1	1
93	в одном из	2	1
94	мы можем сказать	2	1
95	то есть в	1	1
96	и тем самым	1	1
97	именно тогда когда	1	1
98	в большинстве случаев	2	1
99	что оно не	1	1
100	во многих случаях	1	1
101	во всех случаях	3	1
102	и в этом	4	1
103	в себе в	1	1
104	тех и других	1	1
105	сказать даже что	1	1
106	мы видели что	1	1
