N	2gram	Trubetskoy_1	Retstnzi
1	не может	22	4
2	и в	14	3
3	один из	1	2
4	если в	6	2
5	нет и	1	1
6	деятельности в	1	1
7	и не	19	1
8	чужд и	1	1
9	тому что	2	1
10	не только	9	1
11	ни один	1	1
12	связи с	3	1
13	бы на	1	1
14	событий и	1	1
15	себя от	3	1
16	точки зрения	11	1
17	сил которые	1	1
18	но и	10	1
19	и должно	2	1
20	не менее	1	1
21	с другими	1	1
22	тех же	1	1
23	ничего кроме	1	1
24	именно с	1	1
25	может спасти	1	1
26	по своим	1	1
27	в ней	2	1
28	может и	1	1
29	в то	10	1
30	с точки	9	1
31	и на	5	1
32	это направление	1	1
33	права и	1	1
34	удовлетворить не	1	1
35	для него	6	1
36	может не	3	1
37	к тому	7	1
38	а не	2	1
39	может быть	9	1
40	несмотря на	3	1
41	в его	4	1
42	ставить в	1	1
43	же время	10	1
44	то же	11	1
45	и все	1	1
46	из этих	3	1
47	можно назвать	1	1
48	если бы	6	1
49	бы в	1	1
