N	3gram	Voloshinov_1	Literetu
1	в то же	5	7
2	то же время	5	7
3	в отличие от	1	5
4	в этом отношении	2	5
5	о том что	1	4
6	с одной стороны	1	4
7	по отношению к	9	4
8	в том что	4	4
9	в данном случае	3	4
10	не может быть	3	3
11	в хх веке	1	3
12	с точки зрения	10	3
13	из того что	1	2
14	к себе самому	1	2
15	в самом деле	5	2
16	но в отличие	1	2
17	бы то ни	1	2
18	но и в	1	2
19	я не в	1	1
20	жизни в ее	1	1
21	в самую гущу	1	1
22	он и не	1	1
23	это и есть	1	1
24	с таким расчетом	1	1
25	расчетом чтобы вызвать	1	1
26	во второй половине	1	1
27	и только в	1	1
28	и у нас	1	1
29	для того чтобы	1	1
30	хотя бы и	2	1
31	но не только	1	1
32	уже не может	1	1
33	в целом ряде	1	1
34	одно из наиболее	1	1
35	в глубине души	1	1
36	ничего общего с	1	1
37	быть может наиболее	1	1
38	и наконец в	1	1
39	ни чувств ни	1	1
40	это как бы	2	1
41	решающее значение для	1	1
42	как бы в	1	1
43	на самом деле	2	1
44	при этом как	1	1
45	мы все время	1	1
46	и тем не	1	1
47	общения между тем	1	1
48	в конечном счете	1	1
49	как будто бы	1	1
50	это уже не	1	1
51	на этой почве	1	1
52	может приобщиться к	1	1
53	чем он сам	2	1
54	все же остается	1	1
55	целом ряде других	1	1
56	но при этом	1	1
57	в себе и	1	1
58	альфой и омегой	1	1
59	в своей основе	1	1
60	быть не может	1	1
61	принес с собой	1	1
62	как и всякое	1	1
63	тем не менее	2	1
64	в свою очередь	1	1
65	на первый взгляд	1	1
66	хотя и не	1	1
67	таким расчетом чтобы	1	1
