N	3gram	Nazirov_Tv_1	RusskieA
1	в том что	6	15
2	и т д	1	9
3	том что в	2	6
4	вместе с тем	1	6
5	и в других	1	4
6	в связи с	1	4
7	о том что	5	4
8	к тому что	1	4
9	в настоящее время	1	3
10	тем не менее	2	3
11	что иное как	1	2
12	как это имеет	1	2
13	но это не	1	2
14	это не значит	1	2
15	в свою очередь	1	2
16	это имеет место	1	2
17	не значит что	1	2
18	не что иное	1	2
19	хотя и не	1	1
20	еще далеко не	1	1
21	и того же	1	1
22	и наконец в	1	1
23	по отношению к	1	1
24	точно так же	2	1
25	на самом деле	2	1
26	дело не только	1	1
27	он и здесь	1	1
28	там же с	2	1
29	может быть назван	1	1
30	далеко не так	1	1
31	и та же	2	1
32	на самом же	1	1
33	и т п	2	1
34	некоторые из них	1	1
35	подробнее об этом	1	1
36	не только в	2	1
37	н г чернышевский	1	1
38	это та же	1	1
39	объясняется тем что	1	1
40	в отличие от	1	1
41	летопись и в	1	1
42	и как бы	1	1
43	не только для	1	1
44	одна и та	1	1
45	самом же деле	1	1
46	бросается в глаза	1	1
47	не означает что	1	1
48	можно сказать что	2	1
49	одного и того	1	1
50	собой не что	1	1
51	имеет тот же	1	1
52	как и в	1	1
53	между прочим в	1	1
54	один из самых	1	1
55	в данном случае	2	1
