N	2gram	Tiupa_Vved_1	Narrotol
1	не только	20	32
2	может быть	18	25
3	но и	19	23
4	в качестве	8	21
5	и не	12	20
6	то есть	8	19
7	и в	13	19
8	в том	10	18
9	в этом	21	17
10	в тексте	10	16
11	не в	6	14
12	в частности	13	14
13	том что	7	14
14	состоит в	10	13
15	представляет собой	15	12
16	тогда как	10	12
17	в рамках	4	12
18	своего рода	10	12
19	коммуникативного события	5	12
20	а не	15	12
21	то что	6	11
22	а в	6	11
23	точки зрения	1	10
24	не может	7	10
25	при этом	26	9
26	нарративного дискурса	5	9
27	в мире	8	9
28	так и	8	9
29	в его	4	9
30	со стороны	5	9
31	в себе	5	8
32	во времени	2	8
33	и т.п	9	8
34	с другой	5	8
35	не является	3	8
36	героя в	1	8
37	еще не	7	7
38	по отношению	7	7
39	как в	4	7
40	все же	6	7
41	в случае	2	7
42	времени и	7	7
43	как и	11	7
44	к тому	6	7
45	и т.д	5	7
46	а также	8	7
47	с одной	5	7
48	одной стороны	5	7
49	такого рода	16	7
50	ни для	1	7
51	высказывания в	1	6
52	но не	5	6
53	точка зрения	3	6
54	в той	4	6
55	то в	1	6
56	на протяжении	1	6
57	тем самым	5	6
58	о том	5	6
59	что он	1	6
60	как это	1	6
61	отношению к	7	6
62	иначе говоря	6	6
63	том числе	1	6
64	но в	6	6
65	между двумя	3	5
66	не все	2	5
67	отличие от	2	5
68	отнюдь не	7	5
69	уже не	5	5
70	в этой	1	5
71	нарративный дискурс	2	5
72	тому же	4	5
73	картины мира	5	5
74	далеко не	4	5
75	события рассказывания	2	5
76	в отличие	2	5
77	по себе	2	5
78	в основе	3	5
79	и его	5	5
80	к себе	1	5
81	картина мира	12	5
82	к нему	1	5
83	в форме	1	5
84	себя в	1	5
85	или иной	3	5
86	мира в	8	5
87	в данном	13	5
88	можно сказать	4	5
89	не предполагает	1	5
90	и пространстве	1	5
91	событийного ряда	1	5
92	речь идет	1	4
93	переход от	1	4
94	данном случае	6	4
95	то же	5	4
96	из которых	1	4
97	здесь не	2	4
98	как правило	6	4
99	в противовес	3	4
100	перед нами	6	4
101	за собой	1	4
