N	3gram	Berdyaev_O_1	Narrotol
1	в том что	1	8
2	о том что	1	4
3	в этом отношении	1	3
4	хотя и не	1	2
5	но и в	2	2
6	и не может	1	2
7	и все же	1	2
8	не может быть	2	2
9	как бы в	1	2
10	и богаче чем	1	1
11	в самом деле	1	1
12	по сравнению с	1	1
13	и он не	1	1
14	в строгом смысле	1	1
15	и все что	1	1
16	вместо того чтобы	1	1
17	сказать про него	1	1
18	ни у кого	2	1
19	что есть на	1	1
20	в человеке в	3	1
21	которым можно было	1	1
22	что это за	1	1
23	а не только	1	1
24	по природе своей	1	1
25	не в том	1	1
26	я верю в	1	1
27	во всяком случае	1	1
28	что у него	2	1
29	не растворяется в	1	1
30	и когда он	1	1
31	жизни а не	1	1
32	самим собой в	1	1
33	для того чтобы	3	1
