1	в том что	4	7
2	о том что	4	7
3	и то что	1	4
4	в году он	1	4
5	то же время	7	4
6	в то же	7	4
7	на то что	2	4
8	не может быть	3	3
9	в те годы	1	3
10	более или менее	1	3
11	с другой стороны	2	3
12	и в частности	2	2
13	не только в	2	2
14	тем не менее	1	2
15	в том чтобы	2	2
16	т и с	1	2
17	для того чтобы	1	2
18	у него не	1	2
19	к тому же	5	2
20	не в одном	2	1
21	в целом и	2	1
22	говоря уже о	3	1
23	в истории русской	1	1
24	при этом в	1	1
25	с ней в	1	1
26	к тому что	1	1
27	содержит в себе	1	1
28	уже не может	1	1
29	не говоря уже	4	1
30	что иное как	1	1
31	на жизнь как	1	1
32	и если это	2	1
33	в эти самые	1	1
34	и только в	1	1
35	всех такого рода	1	1
36	то что для	1	1
37	то ни было	2	1
38	в то что	2	1
39	соловьева с его	1	1
40	еще в году	1	1
41	с одной стороны	4	1
42	не что иное	1	1
43	к жизни в	2	1
44	в связи с	1	1
45	место в этом	1	1
46	эти самые годы	1	1
47	о том с	1	1
48	и с и	1	1
49	но отнюдь не	1	1
50	вместе с тем	1	1
51	в этом отношении	5	1
52	так и не	1	1
53	но и для	1	1
54	во второй половине	1	1
55	так или иначе	2	1
56	как раз в	1	1
57	в самом деле	2	1
58	в свою очередь	1	1
59	на себя всю	1	1
60	и в том	1	1
61	соловьева о том	1	1
62	но это не	1	1
63	бы то ни	2	1
64	и тем самым	2	1
65	жизнь как на	1	1
66	очень сильное впечатление	1	1
67	и вместе с	2	1
68	это и есть	1	1
69	с по год	1	1
70	сказать что по	1	1
71	не только не	1	1
