N	3gram	Bakhtin_Fr_1	Formalny
1	не может быть	1	10
2	в связи с	1	10
3	с точки зрения	3	7
4	в этом отношении	3	7
5	в самом деле	1	5
6	то же время	1	5
7	в то же	1	5
8	во всяком случае	1	5
9	и пр и	1	4
10	не могут быть	1	4
11	пр и пр	1	4
12	и пр но	1	3
13	на самом деле	2	3
14	как раз и	2	3
15	и не может	1	3
16	но и в	2	3
17	в большинстве случаев	2	3
18	в значительной степени	2	3
19	с другой стороны	1	3
20	до известной степени	1	3
21	так и в	2	3
22	для того чтобы	1	3
23	правильной постановки проблемы	1	2
24	в какой мере	1	2
25	на первый план	1	2
26	сами по себе	1	2
27	в отличие от	4	2
28	к тому чтобы	1	2
29	в применении к	3	2
30	не входит в	2	2
31	только на фоне	1	2
32	но все же	2	2
33	это приводит к	1	2
34	и прежде всего	3	2
35	в том что	6	2
36	из этих элементов	1	1
37	но как раз	1	1
38	сводится к тому	1	1
39	в своем развитии	1	1
40	только в единстве	1	1
41	следует однако отметить	1	1
42	прежде всего на	2	1
43	теми или иными	1	1
44	и до сих	1	1
45	в настоящее время	1	1
46	и др но	2	1
47	в общем можно	1	1
48	перестал бы быть	1	1
49	и в некоторых	1	1
50	речи нет о	1	1
51	в отрыве от	2	1
52	с одной стороны	2	1
53	может быть наиболее	1	1
54	до сих пор	4	1
55	и в других	2	1
56	можно говорить о	1	1
57	должно было быть	1	1
58	очень характерно для	2	1
59	во всех этих	2	1
60	можно только в	1	1
61	в собственном смысле	1	1
62	и речи нет	1	1
63	на этот вопрос	2	1
64	или даже в	1	1
65	то или иное	1	1
66	так сказать в	1	1
67	и связанные с	1	1
68	остановимся прежде всего	1	1
69	в особенности в	1	1
70	от всех форм	1	1
71	и многие другие	1	1
72	не чем иным	1	1
73	но в то	1	1
74	в более широком	1	1
75	продолжает жить и	1	1
76	в книге о	2	1
77	но при этом	1	1
78	между тем в	1	1
79	главным образом на	2	1
80	прежде всего необходимо	1	1
81	в большей или	4	1
82	и еще более	1	1
83	или меньшей степени	4	1
84	все более и	1	1
85	чуть ли не	1	1
86	до настоящего времени	1	1
87	все эти формы	1	1
88	оно было в	1	1
89	языка но и	1	1
90	еще одну особенность	1	1
91	чем иным как	1	1
92	и пр в	1	1
93	имеем в виду	1	1
94	большей или меньшей	4	1
95	в литературе о	1	1
96	связанные с ними	1	1
97	за свои пределы	2	1
98	более и более	1	1
99	и именно как	1	1
100	тому чтобы показать	1	1
101	мы имеем в	1	1
102	лежит в основе	1	1
103	прежде всего поражает	1	1
104	его от всех	1	1
105	в его целом	1	1
106	в узком смысле	2	1
107	в сущности не	1	1
108	и ни на	2	1
109	вовсе не является	2	1
110	живые связи с	1	1
111	и до настоящего	1	1
112	в ней и	1	1
113	и его формы	1	1
