N	2gram	Potebnia_M_2	Literetu
1	и не	19	22
2	тогда как	10	17
3	и в	24	16
4	при этом	13	15
5	в этом	8	14
6	не только	15	14
7	но и	9	14
8	в том	18	12
9	может быть	23	12
10	а не	18	12
11	то что	20	12
12	я и	1	10
13	не в	13	10
14	то же	12	9
15	так и	5	9
16	в то	6	9
17	того что	7	9
18	в жизни	2	8
19	том что	8	8
20	не может	12	8
21	к себе	1	8
22	как бы	9	8
23	тем самым	4	7
24	же время	2	7
25	только в	11	7
26	со стороны	3	7
27	еще не	4	6
28	с его	2	6
29	в себе	10	6
30	состоит в	2	6
31	в другом	2	6
32	о том	5	6
33	и его	2	6
34	в его	2	6
35	с другой	6	6
36	к тому	1	6
37	в отличие	1	5
38	отличие от	1	5
39	как в	10	5
40	в целом	3	5
41	тому же	1	5
42	то есть	30	5
43	лишь в	1	5
44	это не	3	5
45	как и	7	5
46	что я	1	5
47	в ее	1	5
48	что он	4	5
49	именно в	1	5
50	а именно	1	5
51	вместе с	11	5
52	а в	8	5
53	одним из	1	4
54	но не	12	4
55	по отношению	2	4
56	хотя и	3	4
57	и если	4	4
58	входит в	1	4
59	должно быть	2	4
60	место в	4	4
61	никогда не	4	4
62	с одной	4	4
63	из них	5	4
64	одно из	3	4
65	в одном	6	4
66	в природе	5	4
67	одной стороны	3	4
68	и для	3	4
69	отношения к	2	3
70	например в	3	3
71	самом деле	2	3
72	той же	3	3
73	в сторону	1	3
74	однако не	1	3
75	и как	6	3
76	и наконец	1	3
77	но в	4	3
78	то в	1	3
79	бы и	1	3
80	в глазах	1	3
81	и тем	3	3
82	в слове	13	3
83	с точки	1	3
84	только для	5	3
85	по своей	1	3
86	потому что	49	3
87	в словах	3	3
88	обратим внимание	1	3
89	прежде всего	7	3
90	между тем	6	3
91	вслед за	3	3
92	уже не	4	3
93	в единстве	1	3
94	в самом	4	3
95	как это	2	3
96	тому как	4	3
97	там где	4	3
98	это как	1	3
99	жизни и	1	3
100	как на	3	3
101	того же	14	2
102	для своего	1	2
103	как мы	1	2
104	вопрос о	2	2
105	из того	1	2
106	мы и	1	2
107	то это	3	2
108	и на	8	2
109	бы то	1	2
110	во всех	7	2
111	а и	5	2
112	отношение к	1	2
113	не согласиться	1	2
114	стороны и	1	2
115	все же	5	2
116	могли бы	2	2
117	себе на	1	2
118	в противоположность	1	2
119	он в	1	2
120	на то	5	2
121	все они	1	2
122	с чувством	1	2
123	в нем	9	2
124	последнее имеет	2	2
125	о которой	3	2
126	в первой	1	2
127	не как	3	2
128	том чтобы	1	2
129	подобно тому	4	2
130	человека в	3	2
131	то ни	1	2
132	и с	1	2
133	его в	3	2
134	было бы	13	2
135	далеко не	3	2
136	не всегда	1	2
137	и тогда	3	2
138	и при	3	2
139	от себя	2	2
140	всякий раз	1	2
141	одном из	4	2
142	быть может	7	2
143	ни было	3	2
144	и наоборот	5	2
145	по себе	15	2
146	между людьми	1	2
147	не менее	5	2
148	для меня	4	2
149	с которой	1	2
150	в нас	3	2
151	того чтобы	2	2
152	другой стороны	2	2
153	у нас	2	2
154	следует признать	1	2
155	для такого	1	2
156	с образом	1	2
157	для себя	1	2
158	то она	1	2
159	и сам	1	2
160	что у	2	2
161	не с	3	2
162	здесь как	1	2
163	во второй	1	2
164	если бы	11	2
165	слова из	1	2
166	одного из	1	2
167	можно сказать	1	2
168	во втором	1	2
169	искусство не	1	2
170	что и	11	2
171	и только	6	2
172	что ему	2	2
173	в ту	1	2
174	как например	3	2
175	но с	1	2
176	здесь не	1	2
177	вне себя	2	2
178	с ними	3	2
179	со всеми	1	2
180	связи с	6	2
181	которому он	1	2
182	ни с	2	2
183	для него	10	2
184	тем что	7	2
185	и вместе	4	2
186	для того	5	2
187	это будет	3	2
188	себя и	2	2
189	что не	5	2
190	а на	1	2
191	не знаю	1	2
192	если не	4	2
193	так же	2	2
194	и потому	2	2
195	какого бы	1	2
196	быть только	2	2
197	если это	2	2
198	быть не	3	2
199	с этой	1	2
200	один из	2	2
201	это последнее	4	2
202	за его	1	2
203	сознания и	1	2
204	что в	16	2
205	внимание на	2	2
206	же в	5	2
207	не я	1	2
208	в свою	6	2
209	оно не	3	2
210	эти слова	1	2
211	но еще	1	2
212	ее в	1	2
213	в своих	1	2
214	к этому	2	2
215	была бы	1	1
216	и т	6	1
217	зависимость от	1	1
218	и то	3	1
219	на самом	2	1
220	тех же	1	1
221	в стороне	1	1
222	того самого	2	1
223	и есть	2	1
224	между двумя	6	1
225	по которым	1	1
226	и до	1	1
227	с таким	3	1
228	положение при	1	1
229	которое может	2	1
230	и за	1	1
231	обойтись без	1	1
232	мы уже	1	1
233	который в	1	1
234	полагает что	3	1
235	есть образ	1	1
236	смотреть на	1	1
237	для самой	1	1
238	на слух	1	1
239	мыслимо только	1	1
240	и посредством	1	1
241	из своих	1	1
242	и совсем	1	1
243	этом не	1	1
244	в последнем	1	1
245	само слово	1	1
246	принадлежит к	1	1
247	как я	1	1
248	пространство и	2	1
249	в ней	3	1
250	мысли и	1	1
251	быть в	1	1
252	в чем	7	1
253	сознания а	1	1
254	тем как	2	1
255	в создании	3	1
256	сам собою	1	1
257	сознания не	1	1
258	если в	3	1
259	очевидно что	3	1
260	с собою	1	1
261	друг от	1	1
262	значение имеет	1	1
263	когда например	1	1
264	за пределы	2	1
265	сама по	2	1
266	в истории	1	1
267	независимо от	9	1
268	с этим	7	1
269	она как	1	1
270	ней в	1	1
271	что касается	1	1
272	перед нами	1	1
273	что по	1	1
274	более или	8	1
275	в этот	1	1
276	ход мысли	1	1
277	и человек	3	1
278	себе как	1	1
279	в нашем	2	1
