N	2gram	Losev_Dial_4	EvropaiE
1	и в	15	37
2	в отношении	2	32
3	в пределах	1	25
4	точки зрения	14	23
5	что в	7	21
6	не только	8	18
7	с точки	9	17
8	в то	6	16
9	то же	9	15
10	хотя бы	4	15
11	отношении к	2	15
12	в своем	5	14
13	но в	3	14
14	же время	6	14
15	в качестве	2	14
16	но и	4	14
17	и не	30	14
18	в этом	11	12
19	в их	3	11
20	в области	3	11
21	в том	11	11
22	с и	1	10
23	так и	5	10
24	отнюдь не	4	9
25	в себе	8	9
26	только в	7	9
27	прежде всего	11	9
28	не может	11	9
29	так же	4	9
30	т е	46	9
31	в смысле	5	9
32	в ее	2	8
33	думать что	2	8
34	было бы	9	8
35	в своей	3	8
36	европа и	1	8
37	с одной	1	8
38	также и	4	7
39	того что	13	7
40	так как	14	7
41	с другой	1	7
42	как и	7	7
43	может быть	17	6
44	и на	5	6
45	во всех	2	6
46	стороны и	1	6
47	на то	5	6
48	том что	10	6
49	того чтобы	5	6
50	вслед за	1	6
51	вовсе не	6	6
52	для того	5	6
53	и даже	6	6
54	как бы	14	6
55	с этой	2	6
56	то что	16	6
57	же как	1	5
58	не в	8	5
59	и по	2	5
60	к мировому	1	5
61	но если	5	5
62	тем самым	3	5
63	как мы	1	5
64	одной из	2	5
65	в виде	3	5
66	со стороны	3	5
67	от этого	3	5
68	в частности	2	5
69	и потому	3	5
70	в течение	4	5
71	в той	1	5
72	этой точки	2	5
73	то в	5	4
74	мы не	9	4
75	вопрос о	2	4
76	в некотором	1	4
77	в ней	5	4
78	в самом	2	4
79	то ни	4	4
80	того или	2	4
81	в предыдущем	3	4
82	даже в	1	4
83	не имеет	14	4
84	и притом	3	4
85	в процессе	1	4
86	той или	4	4
87	по себе	13	4
88	можно сказать	5	4
89	тем более	6	4
90	именно в	5	4
91	на всем	1	4
92	само по	4	4
93	или иной	1	4
94	мира в	1	4
95	как это	2	4
96	сказать что	6	4
97	в каком	5	4
98	в сфере	5	3
99	идет о	1	3
100	бы и	3	3
101	в общем	1	3
102	как в	3	3
103	когда он	3	3
104	себе не	2	3
105	или иную	2	3
106	в известном	1	3
107	вообще не	1	3
108	мы можем	3	3
109	по общему	2	3
110	не будет	2	3
111	не дает	2	3
112	и мы	7	3
113	этом смысле	4	3
114	и тем	6	3
115	в них	2	3
116	с тем	4	3
117	мы видели	1	3
118	можно считать	1	3
119	она в	3	3
120	в которых	1	3
121	можно ли	1	3
122	дело в	1	3
123	нельзя ли	1	3
124	никогда не	2	3
125	потому что	10	3
126	бы ни	2	3
127	можно было	1	3
128	о том	5	3
129	от них	1	3
130	место в	1	3
131	что и	6	3
132	и только	2	3
133	народов и	1	3
134	не из	1	3
135	из них	2	3
136	ту или	2	3
137	очевидно что	1	3
138	себе в	1	3
139	тем что	2	3
140	и прежде	1	3
141	в свою	3	3
142	говорит о	3	3
143	ни на	6	3
144	в данном	3	3
145	является ли	1	3
146	не является	1	3
147	и для	5	3
148	и от	1	3
149	в результате	6	3
150	мира и	1	3
151	не более	1	3
152	жизни в	1	3
153	на своем	1	3
154	это так	1	3
155	ее в	2	3
156	как на	1	3
157	во всяком	2	3
158	и то	3	2
159	не уходит	1	2
160	ведь и	2	2
161	должна быть	7	2
162	и этот	1	2
163	есть не	5	2
164	что если	3	2
165	из того	1	2
166	не нужно	2	2
