N	2gram	Propp_Russ_2	Literetu
1	а не	4	20
2	и в	29	19
3	может быть	13	17
4	своего рода	1	13
5	то же	4	12
6	и не	1	11
7	как и	11	10
8	в том	22	10
9	но и	8	10
10	тогда как	2	9
11	в этом	11	9
12	состоит в	15	9
13	в то	2	9
14	не может	5	9
15	не только	10	8
16	и даже	1	8
17	с другой	2	8
18	том что	22	7
19	так и	1	7
20	с одной	2	7
21	то что	5	7
22	и на	6	6
23	при этом	6	6
24	однако в	1	6
25	не менее	2	6
26	одной стороны	2	6
27	в году	3	5
28	но не	5	5
29	одна из	11	5
30	так в	2	5
31	в качестве	3	5
32	у нас	4	5
33	того что	3	5
34	вместе с	6	5
35	мы не	6	4
36	так что	4	4
37	отнюдь не	1	4
38	для него	1	4
39	не в	4	4
40	в русской	1	4
41	в ней	1	4
42	еще в	2	4
43	в его	1	4
44	один из	2	4
45	и других	3	4
46	каждый из	2	4
47	тем что	3	4
48	прежде всего	2	4
49	жизни в	2	4
50	другой стороны	1	4
51	что в	22	4
52	одним из	2	3
53	и то	2	3
54	в путь	1	3
55	во всех	3	3
56	как правило	1	3
57	право на	2	3
58	в этой	3	3
59	то и	4	3
60	в нем	1	3
61	такой же	1	3
62	в их	2	3
63	том чтобы	2	3
64	не столько	2	3
65	никогда не	2	3
66	ничего не	1	3
67	по земле	2	3
68	и его	1	3
69	данном случае	7	3
70	не с	2	3
71	и с	10	3
72	в другом	1	3
73	но с	1	3
74	а в	9	3
75	так как	13	3
76	этом отношении	1	3
77	следует признать	1	3
78	и др	1	3
79	в данном	6	3
80	а именно	3	3
81	по существу	4	3
82	но это	1	3
83	и для	2	3
84	на свою	1	3
85	и как	2	3
86	что он	1	3
87	как на	1	3
88	ту же	1	2
89	и т	5	2
90	же как	4	2
91	и до	1	2
92	и за	1	2
93	в первый	1	2
94	из своих	1	2
95	на себя	2	2
96	из того	1	2
97	если в	1	2
98	очевидно что	2	2
99	все же	2	2
100	как уже	2	2
101	и наконец	1	2
102	но в	5	2
103	представляет собой	2	2
104	идут в	2	2
105	как он	1	2
106	о которой	1	2
107	подобно тому	3	2
108	на этом	3	2
109	а затем	4	2
110	в них	4	2
111	нет в	1	2
112	с этой	2	2
113	с тем	6	2
114	а за	4	2
115	и еще	2	2
116	как бы	18	2
117	в такой	1	2
118	не к	2	2
119	такую же	1	2
120	тем не	2	2
121	в основе	1	2
122	могут быть	2	2
123	все еще	1	2
124	для того	6	2
125	в виду	2	2
126	не могу	1	2
127	в ее	3	2
128	то как	1	2
129	еще не	6	2
130	ко всему	1	2
131	для этого	5	2
132	о том	9	2
133	и что	5	2
134	для нас	6	2
135	а также	4	2
136	не более	1	2
137	не надо	1	2
138	в него	2	2
139	было бы	3	2
140	могло бы	1	2
141	тот же	1	2
142	в какой	1	2
143	друг друга	3	2
144	потому что	5	2
145	например а	1	2
146	уже не	4	2
147	уже в	1	2
148	с другим	2	2
149	из них	4	2
150	был бы	1	2
