N	3gram	Vinokur_Ku_2	slovoVRo
1	и т п	24	23
2	в то же	3	12
3	то же время	3	12
4	в узком смысле	2	10
5	с точки зрения	8	8
6	в большинстве случаев	1	6
7	и т д	14	5
8	в каждый данный	2	5
9	во всяком случае	5	5
10	с одной стороны	1	4
11	с другой стороны	7	4
12	большей или меньшей	3	4
13	каждый данный момент	2	4
14	не выходит за	1	3
15	те или иные	1	3
16	но и здесь	1	3
17	хотя бы и	2	3
18	или меньшей степени	3	3
19	таким образом в	1	3
20	в зависимости от	4	3
21	в данном случае	1	3
22	в большей или	3	3
23	и там где	1	2
24	тем чем он	1	2
25	и в том	2	2
26	свое выражение в	1	2
27	в известном смысле	1	2
28	до сих пор	1	2
29	в другом случае	1	2
30	к тому что	1	2
31	то время как	1	2
32	том и в	1	2
33	на ту же	1	2
34	в то время	1	2
35	того или иного	2	2
36	можно было бы	9	2
37	в широком смысле	2	2
38	не только в	4	2
39	но оно не	1	2
40	не могут быть	1	2
41	может быть только	2	2
42	в лучшем случае	3	2
43	в этом случае	2	2
44	в том и	1	2
45	и в другом	2	2
46	в свою очередь	2	2
47	или в лучшем	1	1
48	о том что	1	1
49	так или иначе	2	1
50	в виду не	1	1
51	с самого начала	1	1
52	и не предполагает	1	1
53	случае перед нами	1	1
54	узком смысле слова	1	1
55	связанных с ними	1	1
56	одной и той	1	1
57	бы то ни	1	1
58	не должно быть	1	1
59	и в частности	1	1
60	так как во	1	1
61	а следовательно и	2	1
62	в сущности и	1	1
63	а также и	1	1
64	как и в	1	1
65	можно сказать что	2	1
66	у нас в	1	1
67	тех или иных	1	1
68	и не в	1	1
69	может быть и	1	1
70	для того чтобы	8	1
71	в противном случае	1	1
72	эта установка на	1	1
73	то ни было	1	1
74	в последние десятилетия	1	1
75	но с другой	1	1
76	и прежде всего	1	1
77	что самое слово	1	1
78	все дело в	1	1
79	в своей книге	1	1
80	как бы сами	1	1
81	в том что	10	1
82	не может быть	4	1
83	и все это	1	1
84	этой точки зрения	2	1
85	и той же	1	1
86	о котором идет	1	1
87	следовательно и в	1	1
88	в языке не	2	1
89	находит свое выражение	1	1
90	в отличие от	2	1
91	в значительной степени	1	1
92	своей книге о	1	1
93	то или иное	2	1
94	в этом отношении	3	1
95	может быть не	1	1
96	и др например	1	1
97	т п и	2	1
98	как раз те	1	1
99	почти исключительно на	1	1
100	т п в	2	1
101	и все его	1	1
102	прежде всего в	1	1
103	и что же?	1	1
104	как мы видели	1	1
105	в свое время	2	1
106	мы не знаем	1	1
107	т п не	1	1
108	легко и свободно	1	1
109	языка и с	1	1
110	но это не	1	1
111	дело в том	1	1
112	в первый раз	1	1
113	к языку как	1	1
114	тем не менее	5	1
115	слова не только	1	1
116	они ни были	1	1
117	и с другой	1	1
118	и некоторые другие	1	1
119	с этой точки	2	1
120	все же и	2	1
121	по крайней мере	6	1
