N	3gram	Vinokur_St_1	Narrotol
1	в том что	17	8
2	с одной стороны	2	7
3	о том что	11	6
4	по отношению к	3	6
5	в том числе	2	6
6	не может быть	5	5
7	том числе и	2	4
8	и не в	1	4
9	в данном случае	6	4
10	с другой стороны	6	4
11	той или иной	1	4
12	но все же	3	4
13	бы то ни	1	3
14	в этом отношении	7	3
15	тем не менее	2	3
16	то же время	4	3
17	в то же	4	3
18	именно в том	1	2
19	не может не	1	2
20	в той или	1	2
21	мы имеем дело	1	2
22	а не в	1	2
23	таким каким он	1	2
24	с точки зрения	8	2
25	сами по себе	1	2
26	можно было бы	8	2
27	точно так же	1	2
28	одной из двух	1	2
29	то или иное	3	2
30	ту или иную	1	2
31	так же как	3	2
32	не только в	4	2
33	того или иного	4	2
34	а во втором	1	2
35	речь идет о	2	2
36	так или иначе	2	2
37	том что в	3	1
38	никогда не было	1	1
39	точки зрения как	1	1
40	дело в том	4	1
41	на самом деле	6	1
42	в самом деле	5	1
43	и даже не	2	1
44	в этом смысле	1	1
45	том что он	1	1
46	в том же	1	1
47	же как и	1	1
48	из двух или	1	1
49	по крайней мере	2	1
50	самом деле не	1	1
51	до сих пор	7	1
52	да и в	2	1
53	и в то	1	1
54	ни один человек	1	1
55	в первую очередь	2	1
56	только то что	1	1
57	и то что	2	1
58	оснований видеть в	1	1
59	но это не	1	1
60	в той мере	1	1
61	а иногда и	2	1
62	некоторые из них	1	1
63	может быть и	2	1
64	то что было	1	1
65	однако с другой	1	1
66	содержит в себе	1	1
67	а также и	2	1
68	и не было	1	1
69	а с другой	1	1
70	имеем дело с	2	1
71	то что он	1	1
72	мере в какой	2	1
73	в свое время	2	1
74	ни одного слова	1	1
75	никогда и не	1	1
76	так и в	4	1
77	в том чтобы	1	1
78	ни для кого	1	1
79	то что могло	1	1
80	в капитанской дочке	1	1
81	мысль о том	1	1
82	далеко не все	1	1
83	в этой системе	1	1
84	что именно такова	1	1
85	друг от друга	1	1
86	тем более что	2	1
87	а во второй	2	1
88	из этих двух	2	1
89	отличается от всех	1	1
90	вытекает из его	1	1
91	а в тех	1	1
92	в соответствии с	1	1
93	у нас нет	7	1
94	данного произведения не	1	1
95	той мере в	1	1
96	как и в	2	1
97	здесь совершенно не	2	1
