N	2gram	Vinokur_Vv_1	RusskieA
1	и в	27	36
2	не только	21	22
3	том что	26	19
4	что в	11	19
5	в и	4	17
6	в том	31	17
7	т е	38	17
8	но и	5	16
9	так как	13	15
10	во время	1	14
11	и другие	1	13
12	xix в	12	13
13	в этом	34	12
14	и т	43	10
15	в xix	1	10
16	и на	3	10
17	в этот	2	10
18	это не	8	10
19	как и	5	10
20	как мы	9	10
21	вместе с	6	10
22	потому что	14	10
23	т д	37	9
24	об этом	5	9
25	а в	5	9
26	состоит в	2	8
27	с тем	6	8
28	у нас	2	8
29	о том	15	8
30	один из	6	8
31	из них	3	8
32	может быть	24	8
33	как это	5	8
34	е в	4	8
35	так и	1	7
36	между тем	8	7
37	что и	3	7
38	и других	3	7
39	представляют собой	6	7
40	мы не	2	6
41	в виде	4	6
42	так например	6	6
43	таким образом	19	6
44	при этом	3	6
45	не имеет	4	6
46	уже не	5	6
47	в них	4	6
48	и не	13	6
49	все это	6	6
50	будто бы	2	6
51	то что	17	6
52	а и	1	5
53	как в	1	5
54	все же	8	5
55	во многих	1	5
56	показывает что	1	5
57	в которых	6	5
58	того как	3	5
59	как будто	3	5
60	с ними	1	5
61	и у	1	5
62	одно из	5	5
63	в течение	5	5
64	как бы	5	5
65	этом случае	6	5
66	мы имеем	3	4
67	еще не	4	4
68	во всех	2	4
69	что по	1	4
70	представляет собой	12	4
71	после этого	2	4
72	в россии	1	4
73	входит в	2	4
74	в г	5	4
75	из этих	5	4
76	в их	11	4
77	что этот	1	4
78	тому что	2	4
79	одна из	2	4
80	в русском	1	4
81	связи с	3	4
82	что на	1	4
83	к тому	4	4
84	еще в	1	4
85	и что	4	4
86	тем что	6	4
87	и др	2	4
88	в тех	2	4
89	того что	12	4
90	по существу	2	4
91	но это	1	4
92	в связи	2	4
93	как уже	2	4
94	не может	13	4
95	только в	13	4
96	к этому	3	4
97	представление о	1	3
98	своего рода	3	3
99	которые не	1	3
100	в своем	3	3
101	что это	3	3
102	и те	2	3
103	на этом	3	3
104	то же	8	3
105	но все	3	3
106	чаще всего	1	3
107	для них	1	3
108	несмотря на	2	3
109	в этих	3	3
110	точки зрения	7	3
111	с точки	2	3
112	тем не	8	3
113	не менее	8	3
114	разных формах	1	3
115	в разных	5	3
116	ничего не	2	3
117	к таким	1	3
118	и другой	1	3
119	говорится что	1	3
120	не с	2	3
121	настоящее время	1	3
122	а также	3	3
123	также в	1	3
124	как например	5	3
125	по этому	2	3
126	в качестве	7	3
127	только на	3	3
128	слова в	1	3
129	в одном	4	3
130	к ним	1	3
131	в области	4	3
132	и из	1	3
133	на этот	4	3
134	о чем	4	3
135	так называемой	3	3
136	так же	3	3
137	по содержанию	2	3
138	этого слова	2	3
139	в настоящее	1	3
140	на других	1	3
141	и к	1	3
142	в свою	1	3
143	ко времени	2	3
144	можно говорить	1	2
145	например в	2	2
146	половине xix	2	2
147	что иное	4	2
148	как не	1	2
149	в числе	1	2
150	в ней	3	2
151	он был	1	2
152	иное как	5	2
153	природы и	1	2
154	на самом	1	2
155	но не	7	2
156	значение и	2	2
157	к слову	1	2
158	тогда как	2	2
159	не просто	4	2
160	независимо от	3	2
161	что именно	2	2
162	с этим	2	2
163	мы можем	2	2
164	хотя и	3	2
165	и как	9	2
166	его к	2	2
167	упомянуть что	1	2
168	но в	10	2
169	та же	1	2
170	в целом	5	2
171	все эти	3	2
172	в дальнейшем	2	2
173	и до	2	2
174	выводу что	5	2
175	как он	6	2
176	к выводу	6	2
177	что она	3	2
178	в нем	13	2
179	не значит	1	2
180	в силу	3	2
181	его от	1	2
182	в каждом	4	2
183	главным образом	1	2
184	и с	2	2
185	разница между	1	2
186	на этой	3	2
187	xx в	3	2
188	в жизни	1	2
189	говорится о	1	2
190	представляла собой	1	2
191	далее в	1	2
192	должны были	1	2
193	и более	1	2
194	том же	2	2
195	для этого	3	2
196	этой работы	3	2
197	других народов	1	2
198	у него	1	2
199	судя по	1	2
200	до того	2	2
201	могут быть	4	2
202	области изучения	1	2
203	как они	1	2
204	значения и	1	2
205	свою очередь	1	2
206	в в	3	2
207	в более	2	2
208	что у	1	2
209	с ним	1	2
210	говорилось о	1	2
211	после того	2	2
212	в различных	2	2
213	должно было	1	2
214	связь между	4	2
215	этому поводу	2	2
216	в его	10	2
217	них в	1	2
218	в свете	1	2
219	значит что	1	2
220	этот вопрос	4	2
221	в какой	4	2
222	так что	5	2
223	сомнений в	1	2
224	полагали что	1	2
225	его и	1	2
226	не означает	1	2
