N	2gram	Medvedev_S_1	BTomashe
1	и не	1	2
2	все это	7	2
3	стр и	1	2
4	во всяком	1	1
5	с другой	1	1
6	литературы как	1	1
7	в своей	1	1
8	по крайней	1	1
9	между ними	1	1
10	всяком случае	1	1
11	и о	1	1
12	в области	1	1
13	и в	3	1
14	так и	1	1
15	стр в	1	1
16	за пределы	2	1
17	крайней мере	1	1
18	представляется нам	1	1
19	точке зрения	1	1
20	что все	1	1
21	же не	1	1
22	не было	1	1
23	должна быть	2	1
24	было бы	2	1
25	отнюдь не	1	1
26	поэтики и	1	1
27	далеко не	2	1
28	и потому	1	1
29	никак не	1	1
30	словесного творчества	1	1
31	все же	1	1
32	выходит за	1	1
33	и более	1	1
34	прежде всего	1	1
35	что в	2	1
36	таким образом	2	1
37	еще не	2	1
38	как будто	2	1
39	не только	3	1
40	в данном	1	1
41	тем более	2	1
