N	3gram	Nazirov_Tr_1	Otkroven
1	в записках из	2	3
2	в преступлении и	2	3
3	преступлении и наказании	2	3
4	записках из подполья	1	3
5	и в этом	1	2
6	в этом мире	1	2
7	не может быть	1	2
8	как и все	1	2
9	не могут быть	1	2
10	из мертвого дома	2	2
11	смысле этого слова	1	1
12	и не быть	1	1
13	добро и зло	1	1
14	по сравнению с	1	1
15	ставрогина и в	1	1
16	то что достоевский	1	1
17	по природе своей	1	1
18	в виду не	1	1
19	со злом в	1	1
20	а это было	1	1
21	одно из самых	1	1
22	в самом деле	1	1
23	бросается в глаза	2	1
24	приходит в голову	1	1
25	это должно быть	1	1
26	в бесах есть	1	1
27	и все же	1	1
28	между этими двумя	2	1
29	униженные и оскорбленные	9	1
30	и не может	1	1
31	во всяком случае	1	1
32	сам по себе	1	1
33	его ума и	1	1
34	не в силах	2	1
35	не случайно достоевский	1	1
36	после того как	1	1
37	о том что	2	1
38	в другом разговоре	1	1
39	как это часто	1	1
40	и в самом	2	1
41	ивана карамазова в	1	1
42	у достоевского не	1	1
43	в том что	2	1
44	в самой природе	1	1
45	и то что	1	1
46	в братьях карамазовых	1	1
47	бы и не	1	1
48	вместо того чтобы	1	1
49	как и в	1	1
