N	3gram	Trubetskoy_1	Formalny
1	не может быть	1	10
2	в связи с	3	10
3	с точки зрения	6	7
4	в этом отношении	2	7
5	в самом деле	1	5
6	и в этом	2	5
7	с тем что	1	5
8	то же время	2	5
9	в то же	2	5
10	во всяком случае	6	5
11	вместе с тем	8	4
12	и в то	1	3
13	может быть и	2	3
14	не в том	1	3
15	с другой стороны	1	3
16	до известной степени	1	3
17	так и в	1	3
18	для того чтобы	5	3
19	сами по себе	1	2
20	в отличие от	1	2
21	лишь постольку поскольку	1	2
22	в конце концов	3	2
23	говорить не приходится	1	2
24	и в этой	1	2
25	между этими двумя	2	2
26	с самого начала	2	2
27	но все же	4	2
28	с тем и	2	2
29	в том что	3	2
30	и здесь не	1	1
31	сам он не	1	1
32	иметь в виду	1	1
33	более или менее	5	1
34	но если в	1	1
35	а отчасти и	1	1
36	в этом последнем	1	1
37	в настоящее время	1	1
38	в общем можно	1	1
39	можно говорить лишь	1	1
40	влечет за собой	2	1
41	с одной стороны	7	1
42	до сих пор	5	1
43	при этом не	1	1
44	в таком случае	1	1
45	вследствие того что	1	1
46	можно только в	1	1
47	но они не	1	1
48	в этот период	1	1
49	том или ином	1	1
50	может быть даже	2	1
51	по крайней мере	5	1
52	то или иное	2	1
53	и связанные с	2	1
54	же что и	1	1
55	в том или	1	1
56	не совпадает с	1	1
57	в этой области	1	1
58	в данном случае	1	1
59	но в то	1	1
60	на русской почве	2	1
61	и тот же	1	1
62	на задний план	1	1
63	смысле этого слова	1	1
64	но при этом	1	1
65	особенно важное значение	1	1
66	так или иначе	3	1
67	это и есть	1	1
68	то что он	2	1
69	а не как	1	1
70	все более и	1	1
71	чуть ли не	1	1
72	бы то ни	2	1
73	до настоящего времени	1	1
74	все дальнейшее развитие	1	1
75	тем что в	1	1
76	один и тот	1	1
77	в широком смысле	1	1
78	только то что	1	1
79	общем можно сказать	1	1
80	таким образом в	2	1
81	в общих чертах	1	1
82	и некоторые другие	1	1
83	но тем не	1	1
84	имеем в виду	1	1
85	всяком случае в	1	1
86	в свою очередь	1	1
87	ничего общего с	2	1
88	более и более	1	1
89	мы имеем в	1	1
90	от нее не	1	1
91	тем не менее	3	1
92	что и в	1	1
93	что оно является	1	1
