N	4gram	Bakhtin_fo_2	Problemy
1	в то же время	4	10
2	к себе самому и	1	4
3	в той или иной	1	4
4	но в то же	1	4
5	мы уже говорили что	1	3
6	одно и то же	1	3
7	той или иной форме	1	2
8	как мы уже говорили	1	2
9	одна и та же	2	2
10	на протяжении всего романа	2	2
11	и в то же	2	2
12	на более глубокой и	1	1
13	бы он ни был	1	1
14	из уст в уста	1	1
15	но в конце концов	1	1
16	одного и того же	1	1
17	в конце концов он	1	1
18	в то время как	1	1
19	до сих пор еще	1	1
20	ни в чем не	1	1
21	в том что он	1	1
22	все больше и больше	1	1
23	к себе самому к	1	1
24	все более и более	1	1
25	отношение к себе самому	1	1
26	и вместе с тем	1	1
27	что на самом деле	1	1
28	уст в уста в	1	1
