N	2gram	Losev_Vesc_1	Analitik
1	не только	36	22
2	тогда как	1	20
3	и в	21	18
4	как и	8	14
5	так и	3	14
6	в этом	4	14
7	и его	2	13
8	но и	18	13
9	том что	8	12
10	в качестве	1	12
11	и не	29	12
12	в частности	1	12
13	при этом	1	11
14	а в	4	10
15	как бы	12	10
16	что в	9	9
17	может быть	16	9
18	со стороны	5	9
19	а не	19	9
20	в том	8	9
21	с его	1	8
22	не случайно	2	8
23	и даже	6	8
24	в первой	2	8
25	как раз	9	7
26	в его	2	7
27	с другой	6	7
28	но не	5	7
29	и самого	1	6
30	еще не	8	6
31	в этой	3	6
32	не в	5	6
33	к тому	3	6
34	для него	4	6
35	о том	6	6
36	того же	5	5
37	той же	2	5
38	мы имеем	7	5
39	как нам	1	5
40	в самом	9	5
41	в слове	2	5
42	однако в	1	5
43	а а	1	5
44	или иной	1	5
45	в сущности	4	5
46	что и	3	5
47	уже не	9	5
48	в конце	2	5
49	никогда не	2	5
50	в свою	4	5
51	прежде всего	9	5
52	я в	2	5
53	не является	1	5
54	в результате	3	5
55	другой стороны	2	5
56	а и	9	4
57	что он	1	4
58	отнюдь не	5	4
59	в своем	6	4
60	и как	8	4
61	и к	1	4
62	таким образом	8	4
63	приводит к	1	4
64	по себе	13	4
65	тем самым	1	4
66	в одном	2	4
67	имеем дело	3	4
68	ли не	1	4
69	не менее	3	4
70	свою очередь	4	4
71	в пределах	1	4
72	внимание на	1	4
73	можно сказать	6	4
74	крайней мере	4	4
75	себя в	10	4
76	не есть	49	4
77	во втором	2	4
78	далеко не	1	4
79	по крайней	4	4
80	и а	2	4
81	о чем	1	4
82	в данном	5	4
83	все же	4	4
84	перед нами	2	4
85	с новыми	1	3
86	я и	6	3
87	едва ли	1	3
88	мы не	6	3
89	говорить о	6	3
90	уже в	1	3
91	если в	1	3
92	что они	6	3
93	с этим	3	3
94	из этих	1	3
95	тому же	1	3
96	подобно тому	4	3
97	то же	6	3
98	не будет	12	3
99	его в	2	3
100	и того	2	3
101	одного и	1	3
102	точки зрения	5	3
103	и без	3	3
104	не столько	1	3
105	все это	5	3
106	в то	3	3
107	дело не	2	3
108	только не	2	3
109	ничего не	3	3
110	личности в	1	3
111	той или	2	3
112	с ее	6	3
113	в ее	7	3
114	данном случае	2	3
115	так в	1	3
116	жизнь и	1	3
117	именно в	1	3
118	было бы	14	3
119	во всем	1	3
120	этом отношении	1	3
121	в особенности	1	3
122	еще и	8	3
123	что не	5	3
124	не было	1	3
125	однако и	1	3
126	он и	1	3
127	его как	1	3
128	как это	2	3
129	по поводу	1	3
130	к этому	1	3
131	только к	2	2
132	самом деле	4	2
133	мере в	1	2
134	в первом	2	2
135	по преимуществу	2	2
136	есть не	14	2
137	на себя	1	2
138	и он	1	2
139	в ней	12	2
140	во всех	2	2
141	ними в	2	2
142	со всеми	1	2
143	в общем	1	2
144	очевидно что	1	2
145	отличие от	1	2
146	это и	6	2
147	сама по	3	2
148	как к	4	2
149	когда он	1	2
150	могли бы	1	2
151	но в	5	2
152	бы и	5	2
153	все эти	3	2
154	в себе	14	2
155	не могла	1	2
156	что она	15	2
157	в нем	2	2
158	о которой	2	2
159	и вот	2	2
160	свое время	2	2
161	и по	1	2
162	могла бы	3	2
163	это не	5	2
164	с самим	4	2
165	в жизни	3	2
166	а вот	3	2
167	о которых	1	2
168	с тем	5	2
169	несмотря на	1	2
170	не мог	1	2
171	с точки	3	2
172	в принципе	1	2
173	в отличие	1	2
174	от его	2	2
175	в имени	15	2
176	этих моментов	1	2
177	тем не	3	2
178	чистом виде	1	2
179	дело в	4	2
180	одна из	5	2
181	без остатка	1	2
182	по своей	2	2
183	сводится к	2	2
184	могут быть	1	2
185	в себя	13	2
186	в дальнейшем	1	2
187	со мною	2	2
188	не с	7	2
189	поэтому в	1	2
190	об этом	3	2
191	и здесь	4	2
192	тех пор	1	2
193	один из	3	2
194	но с	2	2
195	только в	14	2
196	тем или	1	2
197	то в	4	2
198	и ее	18	2
199	тот или	1	2
200	с одной	3	2
201	для всех	1	2
202	с нею	18	2
203	вопроса о	1	2
204	всяком случае	2	2
205	нуждается в	1	2
206	есть имя	1	2
207	мы можем	4	2
208	на меня	3	2
209	тем что	2	2
210	одной стороны	3	2
211	и прежде	1	2
212	говорит о	1	2
213	что мы	14	2
214	не может	17	2
215	вместе с	1	2
216	и потому	5	2
217	в той	3	2
218	когда мы	6	2
219	тому как	4	2
220	да и	3	2
221	и для	9	2
222	и от	3	2
223	хотя и	4	2
224	и все	5	2
225	же в	1	2
226	хотя в	1	2
227	личности и	1	2
228	не предполагает	4	2
229	то что	27	2
230	нам не	2	2
231	сказать что	17	2
232	совершенно не	5	2
233	в свое	2	2
234	а также	1	2
235	во всяком	3	2
236	гораздо более	1	2
237	также что	1	1
238	человека и	1	1
239	как имя	2	1
240	связана с	1	1
241	сам по	3	1
242	на самом	1	1
243	есть энергия	3	1
244	и есть	26	1
245	сказано что	1	1
246	из самых	2	1
247	к другому	1	1
248	из его	2	1
249	с таким	1	1
250	в зависимости	1	1
251	собою в	1	1
252	мы уже	3	1
253	этого знания	1	1
254	и само	2	1
255	что между	2	1
256	что если	1	1
257	ни у	1	1
258	и момент	1	1
259	вопрос о	1	1
260	философии имени	1	1
261	единство и	1	1
262	никак не	3	1
263	что иное	7	1
264	такое имя	2	1
265	оно есть	9	1
266	в полной	1	1
267	я не	4	1
268	бы ни	2	1
269	мы и	1	1
270	зависимости от	1	1
271	предстает как	1	1
272	бы сказать	2	1
273	между собой	1	1
274	иное как	7	1
275	себя а	1	1
276	и энергия	1	1
277	на их	2	1
278	всего этого	1	1
279	то мы	2	1
280	итак мы	1	1
281	мы будем	1	1
282	не все	1	1
283	собою как	1	1
284	отношение к	1	1
285	имя в	1	1
286	в истории	1	1
287	независимо от	5	1
288	с чисто	1	1
289	внутри себя	3	1
290	воззрений на	1	1
291	этой стороны	1	1
292	чего нет	1	1
293	говорит что	1	1
294	самом начале	1	1
295	себе не	3	1
296	от этого	2	1
297	моментов в	2	1
298	или иную	2	1
299	к чему	1	1
300	не можем	1	1
301	та же	1	1
302	и у	3	1
303	как то	1	1
304	же самой	3	1
305	состоит как	1	1
306	момент его	1	1
307	так или	4	1
308	поскольку в	1	1
309	но без	1	1
310	всего к	1	1
311	раз в	1	1
312	есть явление	1	1
313	по имени	6	1
314	на то	4	1
315	что каждая	1	1
316	в отдельности	4	1
317	с именем	4	1
318	и еще	2	1
319	свою собственную	1	1
320	в силу	3	1
321	том чтобы	1	1
322	с максимальной	1	1
323	чтобы их	1	1
324	как момент	1	1
325	всех своих	1	1
326	от других	1	1
327	такого же	1	1
328	человека в	1	1
329	здесь мы	1	1
330	этим самым	1	1
331	а затем	2	1
332	факт что	1	1
333	свое имя	1	1
334	и может	2	1
335	в другом	2	1
