N	3gram	Trubetskoy_1	Analitik
1	в том что	7	7
2	по отношению к	1	7
3	о том что	2	5
4	по крайней мере	1	4
5	в свою очередь	1	4
6	и того же	1	3
7	до известной степени	1	3
8	в данном случае	3	3
9	то же время	10	3
10	той или иной	3	3
11	в то же	10	3
12	одного и того	1	3
13	к тому же	1	3
14	в этом отношении	1	3
15	дело в том	1	2
16	с точки зрения	9	2
17	в борьбе за	1	2
18	тот или иной	1	2
19	в значительной степени	1	2
20	сама по себе	2	2
21	тем не менее	1	2
22	не только к	2	2
23	во всяком случае	6	2
24	а в том	1	2
25	и прежде всего	1	2
26	совершенно очевидно что	1	2
27	должны были бы	1	1
28	того чтобы их	1	1
29	а между тем	5	1
30	то есть не	1	1
31	как бы не	1	1
32	на самом деле	6	1
33	одной из этих	1	1
34	в самом деле	1	1
35	в этом случае	3	1
36	сказанное относится не	1	1
37	до сих пор	5	1
38	же время в	1	1
39	ни у кого	1	1
40	что он не	2	1
41	о себе самом	1	1
42	именно вследствие этого	1	1
43	перед нами не	1	1
44	на этот вопрос	1	1
45	в том чтобы	1	1
46	в противоречие с	2	1
47	прежде всего с	1	1
48	тот факт что	2	1
49	в применении к	1	1
50	и должно было	1	1
51	в единое целое	1	1
52	они принадлежат к	2	1
53	и как бы	1	1
54	всяком случае не	1	1
55	по этому пути	1	1
56	таким же образом	2	1
57	по себе еще	1	1
58	в связи с	1	1
59	но как бы	1	1
60	внутренней и внешней	1	1
61	лишь в том	2	1
62	в полной мере	1	1
63	для того чтобы	6	1
64	относится не только	1	1
65	но и к	2	1
66	того или иного	2	1
67	и все же	1	1
68	себе еще не	1	1
69	не может быть	4	1
70	между собой и	1	1
71	отнюдь не является	1	1
72	в мире есть	1	1
73	как бы ни	1	1
74	вопрос о том	1	1
75	речь идет о	1	1
76	в этой роли	1	1
77	друг от друга	2	1
78	тем более что	1	1
79	заключается в том	1	1
80	в большинстве случаев	2	1
