N	3gram	Trubetskoy_1	Morfolog
1	мы видим что	1	9
2	в этом случае	4	9
3	в связи с	3	8
4	не может быть	3	8
5	таким образом мы	1	5
6	по отношению к	9	4
7	с точки зрения	8	4
8	тем не менее	4	4
9	с другой стороны	4	4
10	как и в	2	3
11	независимо от того	1	3
12	на самом деле	7	3
13	но все же	2	3
14	с одной стороны	2	2
15	тех случаях когда	1	2
16	друг на друга	1	2
17	может быть и	4	2
18	для того чтобы	7	2
19	в том что	15	2
20	на первый взгляд	1	2
21	состоит в том	1	2
22	в то время	2	2
23	в настоящее время	2	2
24	более или менее	7	2
25	должны рассматриваться как	1	2
26	точно так же	1	2
27	в тех случаях	1	2
28	и таким образом	1	2
29	то время как	1	2
30	образом мы видим	1	2
31	с самого начала	1	1
32	дело идет об	1	1
33	в то же	2	1
34	в том случае	4	1
35	бы то ни	2	1
36	друг с другом	9	1
37	мы говорили лишь	1	1
38	и затем уже	1	1
39	из которых каждый	1	1
40	во многих отношениях	1	1
41	стоит в связи	1	1
42	лишь о тех	1	1
43	тем что она	1	1
44	говорили лишь о	1	1
45	взгляд кажется что	1	1
46	иметь в виду	1	1
47	и пр эта	1	1
48	та же участь	1	1
49	что же касается	2	1
50	к тому что	1	1
51	самого начала в	1	1
52	во всех этих	2	1
53	о том что	4	1
54	ни одна из	1	1
55	том случае если	4	1
56	что несмотря на	2	1
57	а и в	7	1
58	первый взгляд кажется	1	1
59	на русском языке	1	1
60	и то же	1	1
61	и что следовательно	1	1
62	том что он	2	1
63	вместо того чтобы	1	1
64	можно было бы	1	1
65	а на самом	1	1
66	целый ряд вопросов	1	1
67	по тем же	1	1
68	они вступают в	1	1
69	которые не могут	1	1
70	и может быть	2	1
71	на то что	7	1
72	он не может	2	1
73	то для того	1	1
74	возможны три случая	1	1
75	которые могут быть	1	1
76	сих пор не	2	1
77	правильнее было бы	1	1
78	то же время	2	1
79	друг к другу	2	1
80	но и его	1	1
81	в том или	1	1
82	для этой цели	1	1
83	в другом случае	1	1
84	в научной литературе	1	1
85	но так как	2	1
86	могут рассматриваться как	1	1
87	одно и то	1	1
88	во всяком случае	2	1
89	это было бы	1	1
90	в данном случае	3	1
91	а в с	1	1
92	хотя и не	1	1
93	до сих пор	8	1
