N	2gram	Medvedev_S_1	VerxiiNi
1	и в	3	26
2	таким образом	2	22
3	в этом	5	15
4	как бы	2	12
5	в том	5	11
6	не только	3	10
7	может быть	2	10
8	связи с	1	9
9	в области	1	9
10	но и	2	9
11	что в	2	9
12	но не	1	8
13	главным образом	2	8
14	с другой	1	8
15	и не	1	8
16	том что	2	7
17	с одной	1	7
18	то что	2	7
19	а с	1	7
20	одной стороны	1	7
21	все же	1	6
22	все эти	1	6
23	всяком случае	1	6
24	так и	1	6
25	о том	1	6
26	в конце	2	6
27	и потому	1	6
28	все это	7	6
29	мы должны	1	6
30	во всяком	1	6
31	в силу	1	5
32	в мире	1	5
33	по крайней	1	5
34	никогда не	1	5
35	образом в	1	5
36	в его	3	5
37	крайней мере	1	5
38	в котором	1	4
39	то же	2	4
40	в этой	1	4
41	и по	1	4
42	что все	1	4
43	далеко не	2	4
44	в то	1	4
45	а в	1	4
46	и что	2	4
47	и только	3	4
48	только в	2	4
49	на этот	1	4
50	не может	1	4
51	в смысле	2	4
52	в этих	1	4
53	что он	1	4
54	в виде	1	4
55	и как	1	3
56	что это	1	3
57	и о	1	3
58	хотя бы	1	3
59	что эти	1	3
60	в связи	1	3
61	в результате	2	3
62	конце концов	2	3
63	отношению к	2	3
64	еще не	2	2
65	и наконец	1	2
66	те же	1	2
67	на все	1	2
68	в них	1	2
69	не в	3	2
70	же время	1	2
71	для этого	1	2
72	должно было	1	2
73	между тем	1	2
74	и человеком	1	2
75	наконец в	1	2
76	исторического развития	2	2
77	один из	1	2
78	конечно не	1	2
79	именно в	1	2
80	к которому	2	2
81	прежде всего	1	2
82	не было	1	2
83	по существу	2	2
84	благодаря этому	1	2
85	только для	1	2
86	же самое	1	2
87	из себя	1	2
88	в процессе	1	2
89	вряд ли	1	1
90	а между	1	1
91	это и	2	1
92	и есть	1	1
93	тем же	1	1
94	мы не	1	1
95	этом не	1	1
96	ввести в	2	1
97	в сущности	1	1
98	в чем	1	1
99	сказать и	1	1
100	по отношению	2	1
101	чуть ли	1	1
102	но именно	1	1
103	и более	1	1
104	новое и	1	1
105	базируются на	1	1
106	что она	1	1
107	его в	1	1
108	это не	1	1
109	было бы	2	1
110	как и	1	1
111	в своей	1	1
112	еще недостаточно	1	1
113	место в	1	1
114	знакомясь с	1	1
115	по себе	1	1
116	даже в	1	1
117	этой области	1	1
118	дело не	2	1
119	ничего не	1	1
120	когда мы	1	1
121	как только	2	1
122	этого и	1	1
123	в строгом	1	1
124	только то	1	1
125	нужно было	2	1
126	том как	1	1
127	между собой	1	1
128	с ним	1	1
129	против этого	1	1
130	и должно	1	1
131	настоящее время	1	1
132	может не	1	1
133	жизни он	1	1
134	связь между	1	1
135	эти два	1	1
136	ними в	1	1
137	представляет и	1	1
138	еще и	1	1
139	и его	1	1
140	только тогда	1	1
141	представить себе	1	1
142	у него	1	1
143	тем что	1	1
144	это по	1	1
145	перейти к	1	1
146	но одно	1	1
147	выйдет из	1	1
148	зависит от	1	1
149	с помощью	1	1
150	ни на	1	1
151	в данном	1	1
152	ли не	1	1
153	в наше	1	1
154	это как	1	1
155	в настоящее	1	1
156	бы в	1	1
157	тем более	2	1
158	пришлось бы	1	1
159	только как	2	1
160	проникли в	1	1
161	они не	1	1
