N	2gram	Medvedev_S_1	formyVre
1	и в	3	46
2	в этом	5	22
3	прежде всего	1	14
4	вовсе не	1	13
5	и его	1	12
6	только в	2	11
7	не только	3	11
8	в том	5	10
9	как бы	2	10
10	не в	3	9
11	но и	2	9
12	и не	1	9
13	у него	1	9
14	в связи	1	8
15	как и	1	8
16	связи с	1	8
17	то же	2	8
18	в его	3	8
19	так и	1	7
20	то что	2	7
21	в них	1	7
22	может быть	2	7
23	все же	1	6
24	еще не	2	6
25	и наконец	1	6
26	те же	1	6
27	его в	1	6
28	никогда не	1	6
29	все это	7	6
30	все эти	1	5
31	но не	1	5
32	что в	2	5
33	в смысле	2	5
34	в то	1	5
35	в частности	2	5
36	по существу	2	5
37	же время	1	4
38	место в	1	4
39	в котором	1	4
40	отнюдь не	1	4
41	с ним	1	4
42	в мире	1	4
43	о том	1	4
44	конечно не	1	4
45	том что	2	4
46	таким образом	2	3
47	не было	1	3
48	с помощью	1	3
49	это значит	1	3
50	а в	1	3
51	мы еще	1	3
52	в этих	1	3
53	переходим к	1	3
54	что на	1	3
55	новое и	1	3
56	том как	1	3
57	тем что	1	3
58	на первый	1	3
59	тем более	2	3
60	что он	1	3
61	и как	1	3
62	же самое	1	3
63	и по	1	3
64	и затем	1	2
65	во всяком	1	2
66	не может	1	2
67	него и	1	2
68	наконец в	1	2
69	в конце	2	2
70	друг от	1	2
71	по себе	1	2
72	от друга	1	2
73	и есть	1	2
74	и о	1	2
75	и должно	1	2
76	и только	3	2
77	между ними	1	2
78	это не	1	2
79	и более	1	2
80	в сущности	1	2
81	один из	1	2
82	и потому	1	2
83	что все	1	2
84	далеко не	2	2
85	в этой	1	2
86	именно в	1	2
87	с одной	1	2
88	с другой	1	2
89	первый план	1	2
90	только для	1	2
91	тем же	1	2
92	было бы	2	2
93	со своими	1	2
94	в заключение	1	2
95	в данном	1	2
96	может не	1	1
97	идей и	2	1
98	более не	1	1
99	когда мы	1	1
100	и никак	1	1
101	всему этому	1	1
102	в него	1	1
103	конце концов	2	1
104	же это	1	1
105	из себя	1	1
106	не выходит	1	1
107	одной стороны	1	1
108	темы и	1	1
109	это как	1	1
110	выходит за	1	1
111	должна быть	2	1
112	это вовсе	1	1
113	бы он	1	1
114	в виде	1	1
115	на тех	1	1
116	литературного развития	1	1
117	в своей	1	1
118	в настоящее	1	1
119	естествознания и	1	1
120	этих вопросов	1	1
121	как то	1	1
122	бы в	1	1
123	далеки от	1	1
124	реализма и	1	1
125	время в	1	1
126	тому что	1	1
127	между собой	1	1
128	но только	1	1
129	в таких	1	1
130	мы не	1	1
131	он ни	1	1
132	истории литературы	10	1
133	между тем	1	1
134	он по	1	1
135	исторического развития	2	1
136	за пределы	2	1
137	стало быть	1	1
138	они не	1	1
139	это и	2	1
140	именно на	1	1
141	ведь это	2	1
142	в чем	1	1
143	именно и	1	1
144	и история	1	1
145	как только	2	1
146	стиль в	1	1
147	это же	1	1
148	по самому	1	1
149	в каждом	1	1
150	но как	1	1
151	не исчерпываются	1	1
152	и цельного	1	1
153	самому существу	1	1
154	и что	2	1
155	в результате	2	1
156	несколько упрощенно	1	1
157	в соответствующих	1	1
158	и стало	1	1
159	еще и	1	1
160	на этот	1	1
161	никак не	1	1
162	благодаря этому	1	1
163	литературе и	1	1
164	опираясь на	1	1
165	о художественных	1	1
